mode	N	R	beta	alpha_r	alpha_i	neutral_residual	polynomial_residual	R_relative_error	beta_relative_error	alpha_relative_error	velocity_shape_error	combined_shape_error
Type-I	49	263.70518291415283	0.07003315761521978	0.3913584066634904	-5.919269242499576e-10	5.919269242499576e-10	5.41389410866547e-12	3.6180931312512045e-9	4.012360469653737e-6	5.195822772734752e-6	0.001244359285515004	0.0012422671332008547
Type-I	59	263.70517113605734	0.07003317068019632	0.3913585041759739	-4.551550602391288e-10	4.551550602391288e-10	1.4528060583565482e-11	4.104578262675347e-8	4.198915373236012e-6	5.444988214115469e-6	0.00047990602050447393	0.00047913868078227256
Type-I	69	263.70517057481186	0.07003317077858692	0.3913585047250814	-4.5513647677945953e-10	4.5513647677945953e-10	9.976616045847534e-12	4.317408925110676e-8	4.200320293410268e-6	5.446391302244975e-6	0.00021395144560052806	0.0002136224541422193
Type-I	79	263.7051822638858	0.07003316929612777	0.3913584932285171	-6.8774284849828e-9	6.8774284849828e-9	6.984180296477472e-12	1.1522066075514642e-9	4.179152247386432e-6	5.417015099269636e-6	0.00011393292683079705	0.00011374749091898635
Type-I	89	263.7051819600429	0.07003287661807406	0.39135637324513406	-6.884339853405628e-9	6.884339853405628e-9	4.94711560980038e-12	0.0	0.0	0.0	0.0	0.0
Type-II	49	303.52136591487897	0.045045170199334184	0.14578539957489914	4.802550628007597e-9	4.802550628007597e-9	3.3617842681675786e-11	3.353031193829094e-7	9.479261019608394e-8	2.485602763627272e-7	0.0003543072793183717	0.00035365240035677885
Type-II	59	303.52136591487897	0.045045168769932725	0.14578539097849227	5.428194548193583e-9	5.428194548193583e-9	2.242781442144466e-11	3.353031193829094e-7	1.2652523139578606e-7	3.0752643314157217e-7	0.00014294262885714682	0.0001426859258840553
Type-II	69	303.52136591487897	0.04504516919406588	0.14578539347203293	5.274250241458653e-9	5.274250241458653e-9	1.5540100291282843e-11	3.353031193829094e-7	1.171095024701591e-7	2.904222509723443e-7	6.558975000802136e-5	6.547399928356573e-5
Type-II	79	303.521467951391	0.045045168832505054	0.14578540280134872	-6.747654072398693e-9	6.747654072398693e-9	6.879704064923647e-11	8.724823307764555e-10	1.2513612967735222e-7	2.264287818017455e-7	3.5797775416811425e-5	3.573227997229276e-5
Type-II	89	303.5214676865739	0.04504517446928385	0.14578543581136735	-6.76103762317202e-9	6.76103762317202e-9	4.948225470036279e-11	0.0	0.0	0.0	0.0	0.0
