time	case	status	attempt	points	message
2026-07-17T11:40:20	ome=0.0_Tw=1.06_model=lopez	running	1	0	starting
2026-07-17T11:53:58	ome=0.0_Tw=1.06_model=lopez	running	1	0	starting
2026-07-17T12:01:46	ome=0.0_Tw=1.06_model=lopez	ok	1	121	stop_reason=R_limit
2026-07-17T12:01:46	ome=0.0_Tw=1.06_model=compressible_Mr=0.3_propPert=on_baseProp=variable	running	1	0	starting
2026-07-17T12:18:34	ome=0.0_Tw=1.06_model=compressible_Mr=0.3_propPert=on_baseProp=variable	ok	1	103	stop_reason=R_limit
2026-07-17T12:18:34	ome=0.0_Tw=1.06_model=compressible_Mr=0.3_propPert=off_baseProp=variable	running	1	0	starting
2026-07-17T12:34:05	ome=0.0_Tw=1.06_model=compressible_Mr=0.3_propPert=off_baseProp=variable	ok	1	102	stop_reason=R_limit
2026-07-17T12:34:05	ome=0.0_Tw=1.06_model=compressible_Mr=0.3_propPert=off_baseProp=frozen	running	1	0	starting
2026-07-17T12:50:15	ome=0.0_Tw=1.06_model=compressible_Mr=0.3_propPert=off_baseProp=frozen	ok	1	105	stop_reason=R_limit
2026-07-17T12:50:15	ome=0.0_Tw=1.08_model=lopez	running	1	0	starting
2026-07-18T17:17:38	ome=0.0_Tw=1.0_model=lopez	running	1	0	starting
2026-07-18T17:23:56	ome=0.0_Tw=1.0_model=lopez	ok	1	110	stop_reason=R_limit
2026-07-18T17:23:56	ome=0.0_Tw=1.0_model=compressible_Mr=0.3_propPert=on_baseProp=variable	running	1	0	starting
2026-07-18T17:40:10	ome=0.0_Tw=1.0_model=compressible_Mr=0.3_propPert=on_baseProp=variable	ok	1	108	stop_reason=R_limit
2026-07-31T18:30:26	ome=0.0_Tw=1.4_model=compressible_Mr=0.3_propPert=on_baseProp=variable	running	1	0	starting
2026-07-31T18:37:32	ome=0.0_Tw=1.4_model=compressible_Mr=0.3_propPert=on_baseProp=variable	running	1	0	starting
2026-07-31T18:40:05	ome=0.0_Tw=1.4_model=compressible_Mr=0.3_propPert=on_baseProp=variable	running	1	0	starting
2026-07-31T18:51:36	ome=0.0_Tw=1.6_model=compressible_Mr=0.3_propPert=on_baseProp=variable	running	1	0	starting
2026-07-31T19:08:41	ome=0.0_Tw=1.6_model=compressible_Mr=0.3_propPert=on_baseProp=variable	ok	1	66	stop_reason=R_limit
2026-07-31T19:37:45	ome=0.0_Tw=1.8_model=compressible_Mr=0.3_propPert=on_baseProp=variable	running	1	0	starting
2026-07-31T19:52:35	ome=0.0_Tw=1.8_model=compressible_Mr=0.3_propPert=on_baseProp=variable	ok	1	57	stop_reason=R_limit
2026-07-31T19:53:36	ome=0.0_Tw=1.6_model=compressible_Mr=0.3_propPert=on_baseProp=variable	running	1	0	starting
