time	case	status	attempt	points	message
2026-07-17T13:00:26	ome=0.0_Tw=1.08_model=compressible_Mr=0.3_propPert=off_baseProp=variable	running	1	0	starting
2026-07-17T13:20:42	ome=0.0_Tw=1.08_model=compressible_Mr=0.3_propPert=off_baseProp=variable	ok	1	101	stop_reason=R_limit
2026-07-17T13:20:42	ome=0.0_Tw=1.1_model=compressible_Mr=0.3_propPert=off_baseProp=variable	running	1	0	starting
2026-07-17T13:24:41	ome=0.0_Tw=1.1_model=compressible_Mr=0.3_propPert=off_baseProp=variable	running	1	0	starting
2026-07-17T13:52:12	ome=0.0_Tw=1.1_model=compressible_Mr=0.3_propPert=off_baseProp=variable	running	1	0	starting
2026-07-17T14:12:36	ome=0.0_Tw=1.1_model=compressible_Mr=0.3_propPert=off_baseProp=variable	ok	1	99	stop_reason=R_limit
2026-07-17T14:12:36	ome=0.0_Tw=1.12_model=compressible_Mr=0.3_propPert=off_baseProp=variable	running	1	0	starting
2026-07-17T14:32:13	ome=0.0_Tw=1.12_model=compressible_Mr=0.3_propPert=off_baseProp=variable	ok	1	97	stop_reason=R_limit
2026-07-17T14:32:13	ome=0.0_Tw=1.14_model=compressible_Mr=0.3_propPert=off_baseProp=variable	running	1	0	starting
2026-07-17T14:51:30	ome=0.0_Tw=1.14_model=compressible_Mr=0.3_propPert=off_baseProp=variable	ok	1	95	stop_reason=R_limit
2026-07-17T14:51:30	ome=0.0_Tw=1.16_model=compressible_Mr=0.3_propPert=off_baseProp=variable	running	1	0	starting
2026-07-17T15:10:27	ome=0.0_Tw=1.16_model=compressible_Mr=0.3_propPert=off_baseProp=variable	ok	1	93	stop_reason=R_limit
2026-07-17T15:10:27	ome=0.0_Tw=1.18_model=compressible_Mr=0.3_propPert=off_baseProp=variable	running	1	0	starting
2026-07-17T15:29:22	ome=0.0_Tw=1.18_model=compressible_Mr=0.3_propPert=off_baseProp=variable	ok	1	92	stop_reason=R_limit
2026-07-17T15:29:22	ome=0.0_Tw=1.2_model=compressible_Mr=0.3_propPert=off_baseProp=variable	running	1	0	starting
2026-07-17T15:48:15	ome=0.0_Tw=1.2_model=compressible_Mr=0.3_propPert=off_baseProp=variable	ok	1	90	stop_reason=R_limit
