N_cheb	collocation_points	Tw	points_on_curve	beta_min	beta_max	max_neutral_residual	typeII_fold	R_c	beta_c	R_max_adjacent	beta_max_adjacent	barrier_delta_R	maximum_dR_dbeta	maximum_slope_beta	R_c_error_vs_N89_percent	beta_c_error_vs_N89_percent
49	50	1.12	41	0.03947020727186664	0.04747020727186659	9.687517619691444e-09	present	430.062114877858	0.042020154783767624	430.78516492848377	0.043003793668364	0.7230500506257727	1001.6471556299738	0.04267020727186662	-0.0001355842366408317	-0.002028641087676888
59	60	1.12	41	0.03947036799125927	0.04747036799125922	8.660713441549506e-09	present	430.06297818414504	0.0420209882508073	430.77653556147516	0.04300063187140778	0.7135573773301189	989.2867679580835	0.04267036799125925	6.515539762860406e-05	-4.518782361703408e-05
69	70	1.12	41	0.039470345940425325	0.047470345940425276	9.656540067570774e-09	present	430.06269673834794	0.042021004319240045	430.776199328588	0.04300063723591698	0.7135025902400685	989.3304423647525	0.042670345940425305	-2.875711350302771e-07	-6.94877653128455e-06
79	80	1.12	41	0.03947034562333739	0.047470345623337344	8.991396941229746e-09	present	430.0626944552886	0.042021012757721694	430.77620761503	0.04300063720769133	0.7135131597414102	989.3100568771789	0.04267034562333737	-8.184377668242435e-07	1.313280219318715e-05
89	90	1.12	41	0.03947034549584725	0.0474703454958472	9.67854863354739e-09	present	430.0626979750841	0.042021007239185934	430.7762008156863	0.04300063071664291	0.7135028406021888	989.3920294109708	0.04267034549584723	0.0	0.0
49	50	1.13	43	0.038923058553370936	0.047323058553370885	9.865668353439827e-09	present	428.0587330945666	0.041764514533228	428.42570910314373	0.04253559089754933	0.36697600857712587	611.8317231488428	0.042123058553370916	0.00024017228066785861	-0.00337125634221221
59	60	1.13	43	0.03892311687464185	0.0473231168746418	7.876804178526264e-09	present	428.05799168867304	0.041765881405197214	428.41755349214907	0.042530731500029645	0.3595618034760264	603.3355500498808	0.04212311687464183	6.696995657197262e-05	-9.855964327332496e-05
69	70	1.13	43	0.03892309906863121	0.04732309906863116	8.941793040381785e-09	present	428.05770809664233	0.04176588171177079	428.4172435684173	0.04253074455443857	0.3595354717749615	603.210351859648	0.04212309906863119	7.190685755256626e-07	-9.782561524242816e-05
79	80	1.13	43	0.03892309814140239	0.04732309814140234	9.692412825459962e-09	present	428.0577064448326	0.041765883331284906	428.41723899545985	0.042530740490573225	0.3595325506272502	603.2346245164924	0.042123098141402374	3.3318375063437e-07	-9.394801835612175e-05
89	90	1.13	43	0.03892309730093395	0.0473230973009339	9.021146608369224e-09	present	428.0577050186139	0.04176592256954151	428.41723912273045	0.042530747265817466	0.3595341041165625	603.3096098227056	0.04212309730093393	0.0	0.0
49	50	1.14	46	0.038402803959442885	0.04740280395944283	9.332362719410847e-09	present	426.05184986123953	0.04155132139606708	426.1578671023221	0.04204855428966088	0.10601724108255439	254.96655250393172	0.041802803959442865	0.0006262353637061557	-0.008632150260486608
59	60	1.14	46	0.03840280288644914	0.04740280288644909	9.700643269563991e-09	present	426.04949392526544	0.04155485221375	426.15073130448275	0.04204034859310338	0.10123737921730935	245.30197933515444	0.04180280288644912	7.326259089320816e-05	-0.00013539786173060445
69	70	1.14	46	0.03840278528835017	0.04740278528835012	9.913799630181797e-09	present	426.0491971208948	0.04155490992768341	426.1504321705721	0.0420403190964433	0.10123504967731378	245.3090258910621	0.04180278528835015	3.598246183705211e-06	3.488097891730987e-06
79	80	1.14	46	0.03840278522923518	0.04740278522923513	9.685616307250622e-09	present	426.0492056043897	0.04155495219169023	426.1504250845197	0.04204034590098444	0.10121948012999837	245.27440787281455	0.04180278522923516	5.589447032345447e-06	0.00010519451085187826
89	90	1.14	46	0.03840278495920459	0.04740278495920454	9.817463432482132e-09	present	426.0491817905964	0.041554908478207524	426.15042629160035	0.04204035585213858	0.10124450100397553	245.32610858486385	0.04180278495920457	0.0	0.0
49	50	1.16	51	0.0374273072643247	0.04742730726432464	9.19722775889753e-09	absent						-482.03706020388216	0.04102730726432468		
59	60	1.16	51	0.0374272603949441	0.04742726039494404	8.53617545225338e-09	absent						-490.71176249782707	0.04102726039494408		
69	70	1.16	51	0.03742724730717317	0.04742724730717311	9.957923329667606e-09	absent						-490.7715341286719	0.04102724730717315		
79	80	1.16	51	0.037427247129230214	0.04742724712923015	9.23944866969284e-09	absent						-490.7456254346728	0.04102724712923019		
89	90	1.16	51	0.037427247194369795	0.047427247194369734	9.848282214036663e-09	absent						-490.7558581970791	0.04102724719436977		
