Tw	mode	status	R_c_blackburn	R_c_compressible	R_error_percent	beta_c_blackburn	beta_c_compressible	beta_error_percent	blackburn_quadratic_fit	compressible_quadratic_fit
1.0	Type-I	available	286.04926038607937	286.70753030169317	-0.22959631193541521	0.07746975052505223	0.07698149700239212	0.634247892899422	True	True
1.0	Type-II	available	451.4360078261751	454.8947408451839	-0.7603369985290509	0.046386047681828156	0.046083540188272556	0.6564328441775886	True	True
1.04	Type-I	available	282.24615352046675	280.6236799235012	0.5781670304543984	0.07498794683238268	0.0736319753978848	1.8415524331251776	True	True
1.04	Type-II	available	442.98974787918	446.40103362857224	-0.7641751457570726	0.045271819895492525	0.04455882337772255	1.6001242037428665	True	True
1.08	Type-I	available	277.9887641832347	275.04618838259876	1.0698478746205076	0.0725592833557121	0.07053982372875695	2.86286457805803	True	True
1.08	Type-II	available	433.01890208368206	438.1584651683899	-1.172991849588629	0.044164632053403347	0.04322116477623753	2.182882580907494	True	True
1.12	Type-I	available	273.2905023537055	269.9168275750915	1.2498942021965886	0.07018870241125337	0.06767163229718233	3.7195350970953966	True	True
1.12	Type-II	available	421.29654943957604	430.0393571238435	-2.033025010254978	0.04314149297304503	0.04209713209434037	2.4808361680416344	True	True
1.16	Type-I	available	268.17285290125983	265.18745681417397	1.125768210514508	0.06787977778586407	0.0650027442440286	4.426018586284165	True	True
1.16	Type-II	compressible_missing	407.9216445644329			0.04219327265004532				
1.2	Type-I	available	262.6651722500755	260.81308237147243	0.7101215405924927	0.06563476899045288	0.06252001057966909	4.982018368046599	True	True
1.2	Type-II	compressible_missing	392.9425052058034			0.041310938541705686				
