Tw	mode	R_c_blackburn	beta_c_blackburn	R_c_compressible	beta_c_compressible	status	R_error_percent	beta_error_percent	blackburn_quadratic_fit	compressible_quadratic_fit
1.0	Type-I	286.04926038607937	0.07746975052505223	286.70753030169317	0.07698149700239212	available	-0.22959631193541521	0.634247892899422	True	True
1.0	Type-II	451.4360078261751	0.046386047681828156	454.8947408451839	0.046083540188272556	available	-0.7603369985290509	0.6564328441775886	True	True
1.04	Type-I	282.24615352046675	0.07498794683238268	280.6236799235012	0.0736319753978848	available	0.5781670304543984	1.8415524331251776	True	True
1.04	Type-II	442.98974787918	0.045271819895492525	446.40103362857224	0.04455882337772255	available	-0.7641751457570726	1.6001242037428665	True	True
1.08	Type-I	277.9887641832347	0.0725592833557121	275.04618838259876	0.07053982372875695	available	1.0698478746205076	2.86286457805803	True	True
1.08	Type-II	433.01890208368206	0.044164632053403347	438.1584651683899	0.04322116477623753	available	-1.172991849588629	2.182882580907494	True	True
1.12	Type-I	273.2905023537055	0.07018870241125337	269.9168275750915	0.06767163229718233	available	1.2498942021965886	3.7195350970953966	True	True
1.12	Type-II	421.29654943957604	0.04314149297304503	430.0393571238435	0.04209713209434037	available	-2.033025010254978	2.4808361680416344	True	True
1.16	Type-I	268.17285290125983	0.06787977778586407	265.18745681417397	0.0650027442440286	available	1.125768210514508	4.426018586284165	True	True
1.16	Type-II	407.9216445644329	0.04219327265004532			compressible_missing				
1.2	Type-I	262.6651722500755	0.06563476899045288	260.81308237147243	0.06252001057966909	available	0.7101215405924927	4.982018368046599	True	True
1.2	Type-II	392.9425052058034	0.041310938541705686			compressible_missing				
1.4	Type-I	230.73801493597878	0.05538411408047217	243.16862241793677	0.05228815330952404	available	-5.111929063196879	5.9209602462365245	True	True
1.4	Type-II	298.9670771402326	0.03778942178548603			compressible_missing				
1.6	Type-I	195.6856182026373	0.046456095822176406	230.54725298735082	0.04471347285937754	available	-15.121253596817407	3.8973107015850945	True	True
1.6	Type-II					both_missing				
1.8	Type-I	121.72138236617388	0.03381492064165408	221.22833459797423	0.03889532852572292	available	-44.9792981593559	-13.06174308492851	True	True
1.8	Type-II					both_missing				
