TITLE = "temporal_convergence"
VARIABLES = "branch" "collocation_points" "leading_real" "leading_imag" "positive_real_count"
DATASETAUXDATA Source_File = "three_solution_dynamics/temporal_convergence.json"
DATASETAUXDATA Converter = "convert_all_to_tecplot.py"
ZONE T="branch=1", I=4, DATAPACKING=POINT
1 61 -0.005803218588387083 0 0
1 81 -0.005803218574615108 0 0
1 101 -0.005803218714945441 0 0
1 121 -0.00580321866110009 0 0
ZONE T="branch=2", I=4, DATAPACKING=POINT
2 61 0.002866443826014911 0 1
2 81 0.002866443812817791 0 1
2 101 0.002866443615187448 0 1
2 121 0.00286644377804557 0 1
ZONE T="branch=3", I=4, DATAPACKING=POINT
3 61 -0.004283674184121236 0 0
3 81 -0.004283674312207068 0 0
3 101 -0.004283674425077469 0 0
3 121 -0.00428367417919217 0 0
