TITLE = "temporal_eigenvalues_convergence"
VARIABLES = "branch" "collocation_points" "rank" "real"
DATASETAUXDATA Source_File = "three_solution_dynamics/temporal_eigenvalues_convergence.csv"
DATASETAUXDATA Converter = "convert_all_to_tecplot.py"
ZONE T="label=upper / low-Pi, branch=1", I=80, DATAPACKING=POINT
AUXDATA label = "upper / low-Pi"
1 61 1 -0.0058032185883
1 61 2 -0.0254725476314
1 61 3 -0.0635680270534
1 61 4 -0.0635680270534
1 61 5 -0.0665515789413
1 61 6 -0.0665515789413
1 61 7 -0.0919063013046
1 61 8 -0.1664622915613
1 61 9 -0.2007685895763
1 61 10 -0.200768589576
1 61 11 -0.229454721938
1 61 12 -0.229454721938
1 61 13 -0.258158132529
1 61 14 -0.381204176312
1 61 15 -0.460711959848
1 61 16 -0.460711959848
1 61 17 -0.482445849136
1 61 18 -0.482445849136
1 61 19 -0.521066146169
1 61 20 -0.706100058487
1 81 1 -0.0058032185746
1 81 2 -0.0254725475297
1 81 3 -0.0635680285369
1 81 4 -0.0635680285369
1 81 5 -0.0665515779175
1 81 6 -0.0665515779175
1 81 7 -0.0919063007432
1 81 8 -0.1664622911100
1 81 9 -0.2007685894372
1 81 10 -0.200768589437
1 81 11 -0.229454720025
1 81 12 -0.229454720025
1 81 13 -0.258158133036
1 81 14 -0.381204176362
1 81 15 -0.460711959934
1 81 16 -0.460711959934
1 81 17 -0.482445848085
1 81 18 -0.482445848085
1 81 19 -0.521066146019
1 81 20 -0.706100057881
1 101 1 -0.005803218714
1 101 2 -0.025472547594
1 101 3 -0.063568026854
1 101 4 -0.063568026854
1 101 5 -0.066551578729
1 101 6 -0.066551578729
1 101 7 -0.091906301390
1 101 8 -0.166462291836
1 101 9 -0.200768588844
1 101 10 -0.20076858884
1 101 11 -0.22945472116
1 101 12 -0.22945472116
1 101 13 -0.25815813258
1 101 14 -0.38120417635
1 101 15 -0.46071195940
1 101 16 -0.46071195940
1 101 17 -0.48244584653
1 101 18 -0.48244584653
1 101 19 -0.52106614599
1 101 20 -0.70610005860
1 121 1 -0.005803218661
1 121 2 -0.025472547575
1 121 3 -0.063568027391
1 121 4 -0.063568027391
1 121 5 -0.066551578590
1 121 6 -0.066551578590
1 121 7 -0.091906301142
1 121 8 -0.166462291339
1 121 9 -0.200768589731
1 121 10 -0.20076858973
1 121 11 -0.22945472082
1 121 12 -0.22945472082
1 121 13 -0.25815813255
1 121 14 -0.38120417626
1 121 15 -0.46071195978
1 121 16 -0.46071195978
1 121 17 -0.48244584806
1 121 18 -0.48244584806
1 121 19 -0.52106614618
1 121 20 -0.70610005846
ZONE T="label=middle, branch=2", I=80, DATAPACKING=POINT
AUXDATA label = "middle"
2 61 1 0.0028664438
2 61 2 -0.040394665
2 61 3 -0.066663296
2 61 4 -0.066663296
2 61 5 -0.075294675
2 61 6 -0.075294675
2 61 7 -0.092769562
2 61 8 -0.174554716
2 61 9 -0.201569773
2 61 10 -0.20156977
2 61 11 -0.23277237
2 61 12 -0.23277237
2 61 13 -0.26456792
2 61 14 -0.39071516
2 61 15 -0.46620172
2 61 16 -0.46620172
2 61 17 -0.48154392
2 61 18 -0.48154392
2 61 19 -0.52789542
2 61 20 -0.72024774
2 81 1 0.0028664438
2 81 2 -0.040394665
2 81 3 -0.066663298
2 81 4 -0.066663298
2 81 5 -0.075294673
2 81 6 -0.075294673
2 81 7 -0.092769562
2 81 8 -0.174554715
2 81 9 -0.201569773
2 81 10 -0.20156977
2 81 11 -0.23277237
2 81 12 -0.23277237
2 81 13 -0.26456792
2 81 14 -0.39071515
2 81 15 -0.46620172
2 81 16 -0.46620172
2 81 17 -0.48154392
2 81 18 -0.48154392
2 81 19 -0.52789542
2 81 20 -0.72024774
2 101 1 0.002866443
2 101 2 -0.04039466
2 101 3 -0.06666329
2 101 4 -0.06666329
2 101 5 -0.07529467
2 101 6 -0.07529467
2 101 7 -0.09276956
2 101 8 -0.17455471
2 101 9 -0.20156977
2 101 10 -0.2015697
2 101 11 -0.2327723
2 101 12 -0.2327723
2 101 13 -0.2645679
2 101 14 -0.3907151
2 101 15 -0.4662017
2 101 16 -0.4662017
2 101 17 -0.4815439
2 101 18 -0.4815439
2 101 19 -0.5278954
2 101 20 -0.7202477
2 121 1 0.002866443
2 121 2 -0.04039466
2 121 3 -0.06666329
2 121 4 -0.06666329
2 121 5 -0.07529467
2 121 6 -0.07529467
2 121 7 -0.09276956
2 121 8 -0.17455471
2 121 9 -0.20156977
2 121 10 -0.2015697
2 121 11 -0.2327723
2 121 12 -0.2327723
2 121 13 -0.2645679
2 121 14 -0.3907151
2 121 15 -0.4662017
2 121 16 -0.4662017
2 121 17 -0.4815439
2 121 18 -0.4815439
2 121 19 -0.5278954
2 121 20 -0.7202477
ZONE T="label=principal / isothermal-connected, branch=3", I=80, DATAPACKING=POINT
AUXDATA label = "principal / isothermal-connected"
3 61 1 -0.0042836741
3 61 2 -0.0470190457
3 61 3 -0.0470190457
3 61 4 -0.0690884996
3 61 5 -0.1000631102
3 61 6 -0.1018304513
3 61 7 -0.1018304513
3 61 8 -0.1769950944
3 61 9 -0.2121477221
3 61 10 -0.212147722
3 61 11 -0.248342950
3 61 12 -0.248342950
3 61 13 -0.275117225
3 61 14 -0.401540152
3 61 15 -0.479025429
3 61 16 -0.479025429
3 61 17 -0.483762549
3 61 18 -0.483762549
3 61 19 -0.549325753
3 61 20 -0.733343851
3 81 1 -0.0042836743
3 81 2 -0.0470190452
3 81 3 -0.0470190452
3 81 4 -0.0690884995
3 81 5 -0.1000631101
3 81 6 -0.1018304518
3 81 7 -0.1018304518
3 81 8 -0.1769950944
3 81 9 -0.2121477215
3 81 10 -0.212147721
3 81 11 -0.248342950
3 81 12 -0.248342950
3 81 13 -0.275117225
3 81 14 -0.401540152
3 81 15 -0.479025429
3 81 16 -0.479025429
3 81 17 -0.483762546
3 81 18 -0.483762546
3 81 19 -0.549325752
3 81 20 -0.733343851
3 101 1 -0.004283674
3 101 2 -0.047019045
3 101 3 -0.047019045
3 101 4 -0.069088499
3 101 5 -0.100063110
3 101 6 -0.101830451
3 101 7 -0.101830451
3 101 8 -0.176995094
3 101 9 -0.212147721
3 101 10 -0.21214772
3 101 11 -0.24834294
3 101 12 -0.24834294
3 101 13 -0.27511722
3 101 14 -0.40154015
3 101 15 -0.47902542
3 101 16 -0.47902542
3 101 17 -0.48376254
3 101 18 -0.48376254
3 101 19 -0.54932575
3 101 20 -0.73334385
3 121 1 -0.004283674
3 121 2 -0.047019045
3 121 3 -0.047019045
3 121 4 -0.069088499
3 121 5 -0.100063110
3 121 6 -0.101830450
3 121 7 -0.101830450
3 121 8 -0.176995094
3 121 9 -0.212147721
3 121 10 -0.21214772
3 121 11 -0.24834294
3 121 12 -0.24834294
3 121 13 -0.27511722
3 121 14 -0.40154015
3 121 15 -0.47902542
3 121 16 -0.47902542
3 121 17 -0.48376254
3 121 18 -0.48376254
3 121 19 -0.54932575
3 121 20 -0.73334385
