degree,mapping_scale,fold_index,kind,Hinf,Tw,d2Tw_dHinf2
80,4.0,1,maximum,-0.5327616314188088,1.0480217312254332,-0.507933467711515
80,4.0,2,minimum,-0.11329633336321654,1.0301442475267157,0.8387695973611985
80,4.0,3,maximum,-0.027130852680965316,1.0319586563161158,-1.6262366324876532
80,8.0,1,maximum,-0.5327616666269207,1.0480217312432532,-0.5079706711344375
80,8.0,2,minimum,-0.11330427713231958,1.0301442439038055,0.842264515777337
80,8.0,3,maximum,-0.02765276237512662,1.0319596713158512,-1.8635026127963463
80,12.0,1,maximum,-0.5327615518324113,1.0480217311636209,-0.5078927770457603
80,12.0,2,minimum,-0.11330280587569443,1.0301442465612913,0.833004596158912
80,12.0,3,maximum,-0.027717920310606346,1.0319599223793516,-2.213332980640336
110,4.0,1,maximum,-0.5327613415464434,1.048021731104086,-0.5079262033755977
110,4.0,2,minimum,-0.11330345842912097,1.0301442467327446,0.8351834114407946
110,4.0,3,maximum,-0.02758533300518659,1.0319596134284466,-1.6983344401998866
110,8.0,1,maximum,-0.5327615180956843,1.0480217310463433,-0.5077748238880837
110,8.0,2,minimum,-0.11332088499302138,1.0301442445913471,0.8312147185453488
110,8.0,3,maximum,-0.027574156083755352,1.0319598625098665,-1.910623331134553
110,8.0,4,minimum,-0.008063331083420973,1.031700556126355,5.096457415310195
110,12.0,1,maximum,-0.5327615431888519,1.048021731074028,-0.5076471171877253
110,12.0,2,minimum,-0.1132887158280793,1.0301442577773487,0.8034458039659587
110,12.0,3,maximum,-0.027771162779983836,1.0319594498778129,-1.2167779227092455
140,4.0,1,maximum,-0.5327619262711977,1.048021731496396,-0.5081096237645776
140,4.0,2,minimum,-0.1137912804922543,1.030144425585367,1.1470831240208559
140,4.0,3,maximum,-0.027174232917681115,1.0319600117785797,-3.0526560971797037
140,8.0,1,maximum,-0.5327621890027181,1.0480217311720528,-0.5078939981741445
140,8.0,2,minimum,-0.11325537535862738,1.0301442353596784,0.9205391376123091
140,8.0,3,maximum,-0.02749240030410632,1.0319592524263652,-0.9505358438608924
140,12.0,1,maximum,-0.5327606026958112,1.0480217311301083,-0.5077864111582927
140,12.0,2,minimum,-0.11326927150764063,1.0301442486751005,0.8581427821116344
140,12.0,3,maximum,-0.02689025682954855,1.0319587955364233,-1.7184897937882027
140,12.0,4,maximum,-0.008652229536563975,1.0317393415584273,-7.659863211209887
140,12.0,5,minimum,-0.009633673589276276,1.0317381118536533,7.659863211209887
