sample,Hinf,Tw,temporal_degree,positive_real_count,robust_positive_count_above_1e-5,closest_to_zero_real,closest_to_zero_imag,fold_neutral_mode_within_1e-5,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag
principal,-0.6,1.0467646984722732,90,0,0,-1.6746753904921688e-05,0.0,False,-1.6746753904921688e-05,0.0,-0.00010726516673456016,-4.7005533017697296e-05,-0.00010726516673456018,4.7005533017697296e-05
fold_1,-0.5327616566962796,1.0480217312206694,90,0,0,-1.110254263602715e-08,0.0,True,-1.110254263602715e-08,0.0,-1.4869919939592346e-05,0.0,-9.524187143428566e-05,-4.1946397387056144e-05
middle,-0.3,1.0385768099155694,90,1,1,-8.373029009294535e-06,0.0,False,0.04175985852027313,0.0,-8.373029009294535e-06,0.0,-5.363206086408358e-05,2.361277633978791e-05
middle_near_second,-0.15,1.030669123521854,90,1,1,-4.186043540330324e-06,0.0,False,0.04283429957715902,0.0,-4.186043540330324e-06,0.0,-2.6652371944205126e-05,1.3466172959787303e-05
fold_2,-0.11330573101124149,1.0301446235506522,90,2,1,3.436459204683002e-07,0.0,True,0.04043902270983999,0.0,3.436459204683002e-07,0.0,-3.1654549597836704e-06,0.0
upper_after_second,-0.1,1.0302198335855797,90,2,2,-2.7904361980685875e-06,0.0,False,0.039449053848979315,0.0,0.0008128337415773051,0.0,-2.7904361980685875e-06,0.0
upper,-0.08,1.0306077830180222,90,2,2,-2.232213322931229e-06,0.0,False,0.03803199503757837,0.0,0.001794243478605356,0.0,-2.232213322931229e-06,0.0
upper,-0.05,1.0315604005761816,90,2,2,-1.3946724168013623e-06,0.0,False,0.03683458429201938,0.0,0.0025801263239253365,0.0,-1.3946724168013623e-06,0.0
fold_3,-0.027880559299789623,1.0319559089177697,90,2,2,-5.978031611197506e-07,0.0,True,0.037318238789617666,0.0,0.002447099936539064,0.0,-5.978031611197506e-07,0.0
near_zero_limit,-0.02,1.031892726667345,90,3,3,-5.29438371975938e-07,0.0,False,0.03767024976820754,0.0,0.002271664158664291,0.0,0.00010435530408706293,0.0
