branch, pressure_gradient, z                   , H                      , F                      , G                      , T
     1,    0.001542390341, 0.0                 , 0.0                    , -1.6529336537318395e-32, 1.0                    , 1.16
     1,    0.001542390341, 0.001               , -0.0004174554947296766 , 0.013063971408235788   , 0.9835786066958199     , 1.1586621946418958
     1,    0.001542390341, 0.002               , -0.0016354579336105785 , 0.02532067672126861    , 0.967182961898961      , 1.1573244040310355
     1,    0.001542390341, 0.003               , -0.0036039242015708708 , 0.03680078397830601    , 0.950836985538166      , 1.1559866651386415
     1,    0.001542390341, 0.004               , -0.006274692135445684  , 0.04753436695005265    , 0.9345627023375042     , 1.1546490377923735
     1,    0.001542390341, 0.005               , -0.009601482212375717  , 0.05755088270636446    , 0.9183803467460204     , 1.1533116031955635
     1,    0.001542390341, 0.006               , -0.013539857920108176  , 0.06687915237540532    , 0.902308463008212      , 1.1519744624932293
     1,    0.001542390341, 0.007               , -0.018047185010044983  , 0.07554734488831769    , 0.8863640005943344     , 1.1506377353817465
     1,    0.001542390341, 0.008               , -0.023082589807494433  , 0.08358296351705022    , 0.8705624052064544     , 1.149301558759552
     1,    0.001542390341, 0.009000000000000001, -0.028606916753705348  , 0.09101283501732317    , 0.8549177055513808     , 1.1479660854169231
     1,    0.001542390341, 0.01                , -0.03458268534036535   , 0.09786310119751987    , 0.8394425960624038     , 1.146631482763302
     1,    0.001542390341, 0.011               , -0.04097404658387574   , 0.10415921274340775    , 0.8241485157429119     , 1.145297931591022
     1,    0.001542390341, 0.012               , -0.047746739177492586  , 0.10992592513598096    , 0.8090457232943863     , 1.1439656248746393
     1,    0.001542390341, 0.013000000000000001, -0.054868045443855165  , 0.11518729651005215    , 0.7941433686864593     , 1.142634766605316
     1,    0.001542390341, 0.014               , -0.06230674720475269   , 0.11996668730735492    , 0.77944956131552       , 1.1413055706599826
     1,    0.001542390341, 0.015               , -0.07003308169830723   , 0.12428676157393112    , 0.7649714348772664     , 1.1399782597053105
     1,    0.001542390341, 0.016               , -0.07801869760812918   , 0.12816948978593415    , 0.7507152091103424     , 1.1386530641363264
     1,    0.001542390341, 0.017               , -0.08623661133039928   , 0.13163615306156687    , 0.7366862485155731     , 1.1373302210500398
     1,    0.001542390341, 0.018000000000000002, -0.09466116353195314   , 0.1347073486552483     , 0.7228891181924554     , 1.1360099732541644
     1,    0.001542390341, 0.019               , -0.10326797613131027   , 0.1374029965918396     , 0.709327636877688      , 1.1346925683114384
     1,    0.001542390341, 0.02                , -0.11203390966143385   , 0.1397423473932615     , 0.6960049273618079     , 1.1333782576194735
     1,    0.001542390341, 0.021               , -0.12093702122433837   , 0.14174399071803073    , 0.6829234643078386     , 1.1320672955269688
     1,    0.001542390341, 0.022               , -0.12995652299355298   , 0.1434258648711677     , 0.6700851196358318     , 1.1307599384861808
     1,    0.001542390341, 0.023               , -0.1390727413312051    , 0.14480526708742886    , 0.6574912055625685     , 1.1294564442420492
     1,    0.001542390341, 0.024               , -0.14826707658395896   , 0.14589886449251654    , 0.6451425153837371     , 1.1281570710582278
     1,    0.001542390341, 0.025               , -0.15752196359446438   , 0.14672270566416254    , 0.6330393620948721     , 1.1268620769801554
     1,    0.001542390341, 0.026000000000000002, -0.16682083296516545   , 0.14729223271702782    , 0.6211816149412845     , 1.1255717191352437
     1,    0.001542390341, 0.027               , -0.17614807309917122   , 0.14762229384443284    , 0.6095687339877665     , 1.1242862530701796
     1,    0.001542390341, 0.028               , -0.18548899303719676   , 0.14772715625618002    , 0.5981998027948866     , 1.1230059321253294
     1,    0.001542390341, 0.029               , -0.1948297861344004    , 0.147620519437203      , 0.5870735592749946     , 1.1217310068460398
     1,    0.001542390341, 0.03                , -0.2041574945808355    , 0.14731552867857678    , 0.5761884248134822     , 1.12046172443062
     1,    0.001542390341, 0.031               , -0.21345997478190262   , 0.14682478882652983    , 0.5655425317308523     , 1.119198328214699
     1,    0.001542390341, 0.032               , -0.22272586362276897   , 0.1461603781910752     , 0.5551337491555776     , 1.1179410571914683
     1,    0.001542390341, 0.033               , -0.2319445456077153    , 0.14533386257969286    , 0.5449597073852404     , 1.1166901455674194
     1,    0.001542390341, 0.034               , -0.24110612088959185   , 0.14435630940689448    , 0.5350178208014384     , 1.1154458223529593
