Tw,model,variable,z,value,d1_dz,d2_dz2
1.0,Boussinesq,F,0.0,0.0,0.5101918107848622,-0.9907866223087183
1.0,Boussinesq,F,0.01,0.005052531481481196,0.500314485511377,-0.9846784323883249
1.0,Boussinesq,F,0.02,0.01000628971022754,0.4904982421370957,-0.9755421353018434
1.0,Boussinesq,F,0.03,0.014862496324223106,0.48080364280534005,-0.9634167912598137
1.0,Boussinesq,F,0.04,0.019622362566334338,0.4712299063118993,-0.9513701599212716
1.0,Boussinesq,F,0.05,0.024287094450461098,0.4617762396069146,-0.9394031173776192
1.0,Boussinesq,F,0.06,0.028857887358472625,0.45244184396434695,-0.9275164827830267
1.0,Boussinesq,F,0.07,0.03333593132974804,0.4432259099512541,-0.9157110496280509
1.0,Boussinesq,F,0.08,0.03772240555749771,0.43412762297178586,-0.9039875566996258
1.0,Boussinesq,F,0.09,0.042018483789183755,0.4251461588172616,-0.8923467182828908
1.0,Boussinesq,F,0.1,0.04622532873384294,0.4162806886061281,-0.8807891961487897
1.0,Boussinesq,F,0.11,0.05034409756130631,0.4075303748942858,-0.8693156286851966
1.0,Boussinesq,F,0.12,0.05437593623172866,0.39889437603242417,-0.857926603909906
1.0,Boussinesq,F,0.13,0.0583219850819548,0.3903718428160876,-0.8466226875339267
1.0,Boussinesq,F,0.14,0.06218337308805042,0.38196192228174564,-0.8354043969956564
1.0,Boussinesq,F,0.15,0.06596122352758971,0.37366375487617454,-0.8242722284616661
1.0,Boussinesq,F,0.16,0.0696566481855739,0.36547647771251235,-0.8132266318754873
1.0,Boussinesq,F,0.17,0.07327075308183996,0.3573992222386648,-0.8022680369040849
1.0,Boussinesq,F,0.18,0.0768046326303472,0.34943111697443063,-0.7913968289937401
1.0,Boussinesq,F,0.19,0.08025937542132856,0.34157128565879,-0.7806133742690022
1.0,Boussinesq,F,0.2,0.083636058343523,0.3338188494890506,-0.7699179965869014
1.0,Boussinesq,F,0.21,0.08693575241110958,0.32617292572705203,-0.7593110014015636
1.0,Boussinesq,F,0.22,0.09015951685806403,0.31863262946101933,-0.7487926538034966
1.0,Boussinesq,F,0.23,0.09330840500032997,0.31119707265098207,-0.7383632013616488
1.0,Boussinesq,F,0.24,0.09638345831108368,0.3038653654337864,-0.728022853136336
1.0,Boussinesq,F,0.25,0.09938571230900568,0.2966366155882554,-0.7177718015133561
1.0,Boussinesq,F,0.26,0.10231619062284879,0.2895099294035193,-0.7076102021747577
1.0,Boussinesq,F,0.27,0.10517591089707608,0.2824844115447602,-0.6975381949406056
1.0,Boussinesq,F,0.28,0.10796587885374401,0.27555916550470716,-0.6875558846846097
1.0,Boussinesq,F,0.29,0.11068709420717018,0.26873329385106803,-0.6776633611978795
1.0,Boussinesq,F,0.3,0.11334054473076537,0.2620058982807496,-0.6678606810323284
1.0,Boussinesq,F,0.31,0.11592721217278518,0.25537608023042146,-0.6581478864063683
1.0,Boussinesq,F,0.32,0.1184480663353738,0.24884294055262224,-0.6485249879573995
1.0,Boussinesq,F,0.33,0.12090407098383762,0.24240558047127347,-0.6389919827078039
1.0,Boussinesq,F,0.34,0.12329617794479927,0.23606310089846616,-0.6295488377104252
1.0,Boussinesq,F,0.35000000000000003,0.12562533300180695,0.22981460371706497,-0.6201955070908483
1.0,Boussinesq,F,0.36,0.12789247001914056,0.2236591907566492,-0.6109319165681839
1.0,Boussinesq,F,0.37,0.13009851681693993,0.21759596538570136,-0.6017579795962291
1.0,Boussinesq,F,0.38,0.1322443893268546,0.2116240311647246,-0.592673582737957
1.0,Boussinesq,F,0.39,0.13433099744023444,0.20574249373094222,-0.5836720717237398
1.0,Boussinesq,F,0.4,0.13635923920147344,0.19995058973024982,-0.5747580912216055
1.0,Boussinesq,F,0.41000000000000003,0.13833000923483943,0.1942473319065101,-0.5659609808798205
1.0,Boussinesq,F,0.42,0.1402441858396036,0.1886313701126534,-0.5572581498728209
1.0,Boussinesq,F,0.43,0.1421026366370925,0.18310216890905373,-0.5485934732322821
1.0,Boussinesq,F,0.44,0.14390622921778468,0.17765950064800773,-0.5400098232182682
1.0,Boussinesq,F,0.45,0.14565582665005267,0.17230197244468837,-0.5315729178899442
1.0,Boussinesq,F,0.46,0.14735226866667844,0.16702804229020884,-0.5232318833240157
1.0,Boussinesq,F,0.47000000000000003,0.14899638749585684,0.16183733477820805,-0.5149205373230288
1.0,Boussinesq,F,0.48,0.15058901536224256,0.1567296315437483,-0.5066885417896589
1.0,Boussinesq,F,0.49,0.15213098012673182,0.1517035639424149,-0.4986013888686349
1.0,Boussinesq,F,0.5,0.15362308664109087,0.1467576037663756,-0.4906095450090575
1.0,Boussinesq,F,0.51,0.15506613220205934,0.14189137304223376,-0.48264710549750234
1.0,Boussinesq,F,0.52,0.15646091410193555,0.13710466165642554,-0.47476222257602974
1.0,Boussinesq,F,0.53,0.15780822543518785,0.13239612859071315,-0.4670199099670027
1.0,Boussinesq,F,0.54,0.1591088366737498,0.12776426345708547,-0.4593720935010204
1.0,Boussinesq,F,0.55,0.16036351070432955,0.12320868672069274,-0.4517533337091262
1.0,Boussinesq,F,0.56,0.1615730104081637,0.11872919678290295,-0.4442101783530985
1.0,Boussinesq,F,0.5700000000000001,0.16273809463998762,0.11432448315363075,-0.4368069962118257
1.0,Boussinesq,F,0.58,0.1638595000712363,0.10999305685866645,-0.4294972698212476
1.0,Boussinesq,F,0.59,0.16493795577716097,0.10573453775720587,-0.42221619627555995
1.0,Boussinesq,F,0.6,0.16597419082638043,0.10154873293315525,-0.41500864379573343
1.0,Boussinesq,F,0.61,0.16696893043582406,0.0974343648812912,-0.40793818487978495
1.0,Boussinesq,F,0.62,0.16792287812400628,0.09338996923555953,-0.4009599363390839
1.0,Boussinesq,F,0.63,0.16883672982053524,0.0894151661545095,-0.3940098873560949
1.0,Boussinesq,F,0.64,0.16971118144709646,0.08550977148843764,-0.3871311694872759
1.0,Boussinesq,F,0.65,0.17054692525030402,0.08167254276476399,-0.38038642219184693
1.0,Boussinesq,F,0.66,0.17134463230239175,0.07790204304460069,-0.37373245618654805
1.0,Boussinesq,F,0.67,0.17210496611119602,0.07419789364103302,-0.3671061931378894
1.0,Boussinesq,F,0.68,0.1728285901752124,0.0705599191818429,-0.36054898703961014
1.0,Boussinesq,F,0.6900000000000001,0.17351616449483287,0.06698691390024081,-0.35412242151329165
1.0,Boussinesq,F,0.7000000000000001,0.17416832845321722,0.06347747075157706,-0.347785044576733
1.0,Boussinesq,F,0.71,0.17478571390986442,0.060031213008706175,-0.3414748363154829
1.0,Boussinesq,F,0.72,0.1753689527133914,0.056647974025267445,-0.3352313468841568
1.0,Boussinesq,F,0.73,0.1759186733903698,0.05332658607102303,-0.3291149946030636
1.0,Boussinesq,F,0.74,0.17643548443481186,0.05006567413320617,-0.3230860935499176
1.0,Boussinesq,F,0.75,0.1769199868730339,0.04686486420002467,-0.3170837943767597
1.0,Boussinesq,F,0.76,0.17737278171881235,0.04372399824567097,-0.3111458302432091
1.0,Boussinesq,F,0.77,0.1777944668379473,0.04064194759516049,-0.30533135740649064
1.0,Boussinesq,F,0.78,0.17818562067071556,0.03761737109754115,-0.2996024716240162
1.0,Boussinesq,F,0.79,0.17854681425989813,0.03464989816268016,-0.2938995931489605
1.0,Boussinesq,F,0.8,0.17887861863396914,0.03173937923456194,-0.2882586367059401
1.0,Boussinesq,F,0.81,0.17918160184458937,0.028884725428561353,-0.28273741180191414
1.0,Boussinesq,F,0.8200000000000001,0.17945631314254037,0.02608463099852365,-0.27729979974910846
1.0,Boussinesq,F,0.8300000000000001,0.17970329446455985,0.023338729433579175,-0.27188757699452415
1.0,Boussinesq,F,0.84,0.1799230877312119,0.020646879458633194,-0.2665348487971301
1.0,Boussinesq,F,0.85,0.18011623205373253,0.018008032457636602,-0.2612980046679423
1.0,Boussinesq,F,0.86,0.18028324838036464,0.015420919365274344,-0.2561427049096563
1.0,Boussinesq,F,0.87,0.180424650441038,0.012885178359443472,-0.25101215698057877
1.0,Boussinesq,F,0.88,0.18054095194755349,0.010400676225662764,-0.24593867483480003
1.0,Boussinesq,F,0.89,0.18063266396555128,0.007966404862747467,-0.24097716555822024
1.0,Boussinesq,F,0.9,0.18070028004480845,0.005581132914498355,-0.23609505264863254
1.0,Boussinesq,F,0.91,0.18074428662384123,0.0032445038097748125,-0.23123703828495917
1.0,Boussinesq,F,0.92,0.18076517012100393,0.0009563921487991678,-0.22643367133259298
1.0,Boussinesq,F,0.93,0.1807634144668172,-0.0012841696168770511,-0.2217383242165914
1.0,Boussinesq,F,0.9400000000000001,0.1807394867286664,-0.0034783743355326635,-0.21712015973776017
1.0,Boussinesq,F,0.9500000000000001,0.18069384698010657,-0.005626572811632258,-0.21252542804140007
1.0,Boussinesq,F,0.96,0.18062695527243375,-0.007728882896360645,-0.20798294612793905
1.0,Boussinesq,F,0.97,0.1805392693221794,-0.00978623173419102,-0.2035445091103758
1.0,Boussinesq,F,0.98,0.18043123063774993,-0.011799773078568165,-0.1991809881427108
1.0,Boussinesq,F,0.99,0.18030327386060802,-0.013769851497045238,-0.19484022476570206
1.0,Boussinesq,F,1.0,0.180155833607809,-0.01569657757388221,-0.19054934337372464
1.0,Boussinesq,F,1.01,0.17998934230913038,-0.017580838364519735,-0.1863585280934109
1.0,Boussinesq,F,1.02,0.17980421684051862,-0.01942374813575043,-0.18224032139579893
1.0,Boussinesq,F,1.03,0.17960086734641537,-0.021225644792435716,-0.17814419045807373
1.0,Boussinesq,F,1.04,0.1793797039446699,-0.022986631944911906,-0.1740956114631762
1.0,Boussinesq,F,1.05,0.17914113470751714,-0.024707557021699245,-0.17014313226582067
1.0,Boussinesq,F,1.06,0.17888555280423593,-0.026389494590228324,-0.1662609244216462
1.0,Boussinesq,F,1.07,0.17861334481571256,-0.02803277551013217,-0.16240010641466163
1.0,Boussinesq,F,1.08,0.17832489729403328,-0.02963749671852156,-0.15858455492176993
1.0,Boussinesq,F,1.09,0.17802059488134214,-0.03120446660856757,-0.1548611640452613
1.0,Boussinesq,F,1.1,0.17770080796186194,-0.03273471999942679,-0.15120568782105415
1.0,Boussinesq,F,1.11,0.1773659004813536,-0.03422858036498866,-0.14757091374244502
1.0,Boussinesq,F,1.12,0.17701623635456218,-0.03568613827427569,-0.14397917123565307
1.0,Boussinesq,F,1.1300000000000001,0.17665217771586808,-0.03710816378970172,-0.14047569041162333
1.0,Boussinesq,F,1.1400000000000001,0.17627407307876813,-0.03849565208250816,-0.13703775756530567
1.0,Boussinesq,F,1.1500000000000001,0.17588226467421791,-0.03984891894100784,-0.13361983951947365
1.0,Boussinesq,F,1.16,0.175477094699948,-0.0411680488728976,-0.13024277355935365
1.0,Boussinesq,F,1.17,0.17505890369676,-0.04245377441219489,-0.12695012225485414
1.0,Boussinesq,F,1.18,0.1746280192117041,-0.04370705131799468,-0.12372065101535767
1.0,Boussinesq,F,1.19,0.1741847626704001,-0.04492818743250204,-0.12051050950052655
1.0,Boussinesq,F,1.2,0.17372945546305407,-0.046117261508005214,-0.11733910018296667
1.0,Boussinesq,F,1.21,0.17326241744024,-0.047274969436161385,-0.11424832069959434
1.0,Boussinesq,F,1.22,0.17278395607433084,-0.04840222792199711,-0.11121836013430197
1.0,Boussinesq,F,1.23,0.17229437288180005,-0.049499336638847424,-0.10820704823046867
1.0,Boussinesq,F,1.24,0.1717939693415539,-0.05056636888660648,-0.1052324116200154
1.0,Boussinesq,F,1.25,0.17128304550406792,-0.05160398487124773,-0.10233469125040529
1.0,Boussinesq,F,1.26,0.17076188964412892,-0.05261306271161459,-0.09949544272380706
1.0,Boussinesq,F,1.27,0.17023078424983565,-0.05359389372572387,-0.09667416738636803
1.0,Boussinesq,F,1.28,0.16969001176961446,-0.05454654605934195,-0.09388757611805687
1.0,Boussinesq,F,1.29,0.1691398533286488,-0.05547164524808501,-0.09117426656075622
1.0,Boussinesq,F,1.3,0.16858057886465275,-0.056370031390557074,-0.08851710248114486
1.0,Boussinesq,F,1.31,0.16801245270083764,-0.05724198729770791,-0.0858772431322481
1.0,Boussinesq,F,1.32,0.1674357391186986,-0.058087576253202045,-0.0832701443772339
1.0,Boussinesq,F,1.33,0.1668507011757736,-0.058907390185252595,-0.08073277859512729
1.0,Boussinesq,F,1.34,0.16625759131499354,-0.05970223182510459,-0.07824925863433307
1.0,Boussinesq,F,1.35,0.16565665653927153,-0.060472375357939256,-0.07578238323837638
1.0,Boussinesq,F,1.36,0.16504814380783475,-0.06121787948987212,-0.07334641421392618
1.0,Boussinesq,F,1.37,0.16443229894947406,-0.06193930364221778,-0.07097672091358476
1.0,Boussinesq,F,1.3800000000000001,0.1638093577349904,-0.06263741390814381,-0.06865860588094463
1.0,Boussinesq,F,1.3900000000000001,0.16317955067131118,-0.06331247575983667,-0.06635648468522604
1.0,Boussinesq,F,1.4000000000000001,0.16254310821979367,-0.06396454360184833,-0.06408348587969659
1.0,Boussinesq,F,1.41,0.16190025979927422,-0.06459414547743059,-0.06187340178600609
1.0,Boussinesq,F,1.42,0.16125122531024508,-0.06520201163756845,-0.05971266532567299
1.0,Boussinesq,F,1.43,0.16059621956652287,-0.06578839878394405,-0.0575672824309148
1.0,Boussinesq,F,1.44,0.1599354573345662,-0.06635335728618674,-0.05544930871725917
