Tw,z,F_i,G_i,minus_G_i,H_i,T_i,F_c,G_c,H_c,T_c,rho_c,dF_c_minus_i,dG_c_minus_i_raw,dG_c_minus_minus_Gi,dH_c_minus_i,dT_c_minus_i
1.0,0.0,0.0,0.0,-0.0,-2.876322978925248e-23,1.0,-0.0,-0.0,-3.3262304882248815e-25,1.0,1.0,-0.0,-0.0,0.0,2.843060674042999e-23,0.0
1.0,0.01,0.005052531481481196,0.00615905004976329,-0.00615905004976329,-5.0689928708795063e-05,1.0,0.0030413198232877355,-0.0036953185008354187,-2.0313111839682565e-05,1.0000501481433148,0.9999498543713954,-0.0020112116581934604,-0.009854368550598708,0.0024637315489278713,3.0376816869112498e-05,5.014814331483208e-05
1.0,0.02,0.01000628971022754,0.012317097011882234,-0.012317097011882234,-0.0002014427708421309,1.0,0.008035900528493076,-0.009853243566444356,-0.00012925930246559261,1.0001324999424406,0.9998675176114683,-0.0019703891817344638,-0.02217034057832659,0.0024638534454378778,7.218346837653829e-05,0.00013249994244057817
1.0,0.03,0.014862496324223106,0.018473154945080537,-0.018473154945080537,-0.0004502911905141101,1.0,0.012928136891789272,-0.016008988852782857,-0.00034103372208358035,1.0002131641854966,0.9997868812437896,-0.0019343594324338336,-0.03448214379786339,0.00246416609229768,0.00010925746843052975,0.00021316418549655047
1.0,0.04,0.019622362566334338,0.024626271732964205,-0.024626271732964205,-0.0007953003544728867,1.0,0.017727082219775814,-0.022161804006746718,-0.0006458716407666388,1.000292295567028,0.9997077898447051,-0.0018952803465585241,-0.04678807573971092,0.002464467726217487,0.00014942871370624792,0.0002922955670279226
1.0,0.05,0.024287094450461098,0.03077551175572834,-0.03077551175572834,-0.001234551482068467,1.0,0.022426282475860437,-0.028310479144612048,-0.0010494941303450232,1.0003697936050613,0.9996303430916995,-0.001860811974600661,-0.05908599090034039,0.002465032611116292,0.00018505735172344375,0.000369793605061286
1.0,0.06,0.028857887358472625,0.036919971962920815,-0.036919971962920815,-0.0017661578723382506,1.0,0.027034536600460943,-0.034454460736510484,-0.001542529958917853,1.0004458069269737,0.9995543917282805,-0.0018233507580116826,-0.0713744326994313,0.0024655112264103315,0.0002236279134203976,0.00044580692697371305
1.0,0.07,0.03333593132974804,0.04305876519110646,-0.04305876519110646,-0.0023882486685354865,1.0,0.03154561755753616,-0.040592446513169955,-0.0021303966494813395,1.0005202388854393,0.99948003162233,-0.0017903137722118795,-0.08365121170427642,0.0024663186779365076,0.00025785201905414697,0.0005202388854392836
1.0,0.08,0.03772240555749771,0.049191035629866035,-0.049191035629866035,-0.0030989846601457817,1.0,0.03596805151492015,-0.046724067054230906,-0.0028041276848456125,1.0005932328631537,0.9994071188534264,-0.0017543540425775592,-0.09591510268409695,0.0024669685756351298,0.0002948569753001692,0.0005932328631537143
1.0,0.09,0.042018483789183755,0.05531594276725482,-0.05531594276725482,-0.003896542269614028,1.0,0.04029585514515055,-0.052847936935252304,-0.003568826281079837,1.000664696123979,0.9993357454034767,-0.0017226286440332056,-0.10816387970250713,0.0024680058320025178,0.0003277159885341908,0.0006646961239789029
