zmax,turning_point,Hinf,Tw
15.0,1,-0.4428136897644519,1.0541343471762337
15.0,2,-0.33988844839943166,1.0537151959334934
20.0,1,-0.5173175806375281,1.049031884855026
20.0,2,-0.24202566642979584,1.0406036944822836
25.0,1,-0.5293949115093555,1.0482002888293283
25.0,2,-0.2014579065295244,1.03431193212785
30.0,1,-0.5320443859864159,1.0480529691580402
30.0,2,-0.17426591333882607,1.0311002468916632
40.0,1,-0.5327332225015823,1.0480226301296893
40.0,2,-0.13809982328761458,1.0285916050596446
50.0,1,-0.5327606718307533,1.0480217554710507
50.0,2,-0.11513859814432556,1.0282423834246963
60.0,1,-0.5327616218994755,1.0480217318337601
60.0,2,-0.10055224185845729,1.0286601184462205
70.0,1,-0.5327616519463497,1.0480217312210718
70.0,2,-0.09435235495453792,1.0292534252881345
80.0,1,-0.5327616528404514,1.0480217312056364
80.0,2,-0.0990084642265791,1.0297042656778885
