Hinf,Tw,Fp0,Gp0,Tp0,nodes
-7.500000000000e-01,1.032342541756e+00,4.903712335803e-01,5.981704969720e-01,-1.013942513608e-02,6.200000000000e+02
-7.450000000000e-01,1.033155530464e+00,4.898821293151e-01,5.976711794390e-01,-1.037884353180e-02,6.190000000000e+02
-7.400000000000e-01,1.033943864326e+00,4.894088444730e-01,5.971829727205e-01,-1.061002990967e-02,6.180000000000e+02
-7.350000000000e-01,1.034707874735e+00,4.889511655587e-01,5.967058184086e-01,-1.083313788732e-02,6.180000000000e+02
-7.300000000000e-01,1.035447891865e+00,4.885088793451e-01,5.962396560639e-01,-1.104831906799e-02,6.180000000000e+02
-7.250000000000e-01,1.036164244665e+00,4.880817729093e-01,5.957844232331e-01,-1.125572305823e-02,6.180000000000e+02
-7.200000000000e-01,1.036857260845e+00,4.876696336694e-01,5.953400554660e-01,-1.145549748552e-02,6.180000000000e+02
-7.150000000000e-01,1.037527266861e+00,4.872722494219e-01,5.949064863346e-01,-1.164778801571e-02,6.180000000000e+02
-7.100000000000e-01,1.038174587903e+00,4.868894083794e-01,5.944836474535e-01,-1.183273837041e-02,6.180000000000e+02
-7.050000000000e-01,1.038799547879e+00,4.865208992088e-01,5.940714685017e-01,-1.201049034428e-02,6.180000000000e+02
-7.000000000000e-01,1.039402469393e+00,4.861665110699e-01,5.936698772461e-01,-1.218118382220e-02,6.180000000000e+02
-6.950000000000e-01,1.039983673735e+00,4.858260336550e-01,5.932787995660e-01,-1.234495679635e-02,6.180000000000e+02
-6.900000000000e-01,1.040543480857e+00,4.854992572279e-01,5.928981594790e-01,-1.250194538320e-02,6.180000000000e+02
-6.850000000000e-01,1.041082209353e+00,4.851859726641e-01,5.925278791687e-01,-1.265228384044e-02,6.180000000000e+02
-6.800000000000e-01,1.041600176440e+00,4.848859714910e-01,5.921678790131e-01,-1.279610458380e-02,6.180000000000e+02
-6.750000000000e-01,1.042097697935e+00,4.845990459282e-01,5.918180776150e-01,-1.293353820386e-02,6.180000000000e+02
-6.700000000000e-01,1.042575088233e+00,4.843249889284e-01,5.914783918327e-01,-1.306471348278e-02,6.180000000000e+02
