Hinf,Tw,leading_real,leading_imag,unstable_eigenvalues
-7.000000000000e-01,1.039402469393e+00,-6.838193370307e-02,0.000000000000e+00,0.000000000000e+00
-6.800000000000e-01,1.041600176440e+00,-5.927680075071e-02,0.000000000000e+00,0.000000000000e+00
-6.600000000000e-01,1.043470725569e+00,-5.058906142273e-02,0.000000000000e+00,0.000000000000e+00
-6.400000000000e-01,1.045034095818e+00,-4.230993184489e-02,0.000000000000e+00,0.000000000000e+00
-6.200000000000e-01,1.046309877129e+00,-3.443127555786e-02,0.000000000000e+00,0.000000000000e+00
-6.000000000000e-01,1.047317244453e+00,-2.694527963675e-02,0.000000000000e+00,0.000000000000e+00
-5.800000000000e-01,1.048074932718e+00,-1.984427992389e-02,0.000000000000e+00,0.000000000000e+00
-5.600000000000e-01,1.048601215596e+00,-1.312070131329e-02,0.000000000000e+00,0.000000000000e+00
-5.400000000000e-01,1.048913891922e+00,-6.767095630411e-03,0.000000000000e+00,0.000000000000e+00
-5.200000000000e-01,1.049030284811e+00,-7.762737001856e-04,0.000000000000e+00,0.000000000000e+00
-5.000000000000e-01,1.048967260148e+00,4.858460583741e-03,0.000000000000e+00,1.000000000000e+00
-4.800000000000e-01,1.048741273543e+00,1.014295115499e-02,0.000000000000e+00,1.000000000000e+00
-4.600000000000e-01,1.048368458637e+00,1.508166387160e-02,0.000000000000e+00,1.000000000000e+00
-4.400000000000e-01,1.047864775855e+00,1.967691908985e-02,0.000000000000e+00,1.000000000000e+00
-4.200000000000e-01,1.047246251177e+00,2.392775325079e-02,0.000000000000e+00,1.000000000000e+00
-4.000000000000e-01,1.046529352865e+00,2.782817781988e-02,0.000000000000e+00,1.000000000000e+00
-3.800000000000e-01,1.045731587102e+00,3.136440990078e-02,0.000000000000e+00,1.000000000000e+00
-3.600000000000e-01,1.044872455116e+00,3.451024683593e-02,0.000000000000e+00,1.000000000000e+00
-3.400000000000e-01,1.043975034147e+00,3.721887885699e-02,0.000000000000e+00,1.000000000000e+00
-3.200000000000e-01,1.043068688566e+00,3.940731184326e-02,0.000000000000e+00,1.000000000000e+00
-3.000000000000e-01,1.042193942833e+00,4.092380714034e-02,0.000000000000e+00,1.000000000000e+00
-2.800000000000e-01,1.041411753831e+00,4.147011020467e-02,0.000000000000e+00,1.000000000000e+00
-2.600000000000e-01,1.040822397069e+00,4.037091482081e-02,0.000000000000e+00,1.000000000000e+00
-2.400000000000e-01,1.040607142900e+00,3.549246097426e-02,0.000000000000e+00,2.000000000000e+00
-2.200000000000e-01,1.041128885628e+00,2.151576234182e-02,-1.485795461742e-02,2.000000000000e+00
-2.000000000000e-01,1.043196019520e+00,2.412778871021e-02,-3.256785136832e-02,2.000000000000e+00
-1.800000000000e-01,1.048745223414e+00,2.592128688152e-02,-5.127081873397e-02,2.000000000000e+00
-1.600000000000e-01,1.061795197408e+00,2.588467227374e-02,-7.601805264158e-02,2.000000000000e+00
-1.400000000000e-01,1.085556149502e+00,2.255150737158e-02,1.067367936778e-01,2.000000000000e+00
-1.200000000000e-01,1.116389371380e+00,1.542004998449e-02,1.389406779099e-01,2.000000000000e+00
-1.000000000000e-01,1.149441123963e+00,4.512073331188e-03,1.705858098128e-01,2.000000000000e+00
-8.000000000000e-02,1.183209163673e+00,-1.123522373386e-02,2.016079108230e-01,0.000000000000e+00
-6.000000000000e-02,1.217938788880e+00,-3.695345000720e-02,-2.293863245780e-01,0.000000000000e+00
