z,F_chapman,G_chapman,H_chapman,T_chapman,F_sutherland,G_sutherland,H_sutherland,T_sutherland,dF_suth_minus_chap,dG_suth_minus_chap,dH_suth_minus_chap,dT_suth_minus_chap
0.0,-0.0,-0.0,-4.989345732337322e-25,1.5,-1.8044970709010847e-23,3.2694831961635978e-24,0.0,1.5,-1.8044970709010847e-23,3.2694831961635978e-24,4.989345732337322e-25,0.0
0.01,0.0016944721577232622,-0.002053491488397405,-1.0175886194735687e-05,1.4994798446942026,0.0026755171231207043,-0.004432240427828764,-0.002136454727262161,1.4988347336736079,0.000981044965397442,-0.002378748939431359,-0.0021262788410674254,-0.0006451110205947241
0.02,0.004720360939730777,-0.005752556095980043,-6.89627689374805e-05,1.4985423878393254,0.0053510342462414085,-0.008864480855657528,-0.004272909454524322,1.4976694673472157,0.0006306733065106311,-0.0031119247596774853,-0.004203946685586842,-0.0008729204921096301
0.03,0.008044776136672921,-0.009864335573246466,-0.00019401881985186946,1.4974995903944188,0.008026551369362112,-0.013296721283486293,-0.006409364181786482,1.4965042010208236,-1.8224767310809353e-05,-0.0034323857102398266,-0.006215345361934613,-0.0009953893735952235
0.04,0.011324532634979826,-0.013978436601013486,-0.00039015031462184217,1.4964552326266753,0.010702068492482817,-0.017728961711315057,-0.008545818909048644,1.4953389346944315,-0.0006224641424970086,-0.003750525110301571,-0.0081556685944268,-0.0011162979322438815
0.05,0.014564686755671682,-0.01809432449284079,-0.0006488755383468851,1.4954094867937766,0.013377585615603522,-0.022161202139143823,-0.010682273636310805,1.4941736683680396,-0.0011871011400681596,-0.004066877646303032,-0.01003339809796392,-0.0012358184257370564
0.06,0.017765517546244797,-0.022211754195491207,-0.0009693811664093199,1.4943623588877604,0.016053102738724224,-0.026593442566972585,-0.012818728363572965,1.4930084020416474,-0.0017124148075205736,-0.0043816883714813785,-0.011849347197163644,-0.001353956846112947
0.07,0.020922829772517703,-0.026330594645356233,-0.0013577840187825082,1.4933136964247549,0.01872861986184493,-0.03102568299480135,-0.014955183090835128,1.4918431357152553,-0.0021942099106727724,-0.004695088349445119,-0.01359739907205262,-0.0014705607094995798
0.08,0.024041090014039465,-0.030450433064592004,-0.0018066844713690968,1.4922636520957278,0.021404136984965634,-0.035457923422630114,-0.017091637818097288,1.4906778693888632,-0.002636953029073831,-0.0050074903580381094,-0.015284953346728192,-0.0015857827068646024
0.09,0.027120788735219472,-0.03457102716550347,-0.0023149525560482607,1.4912122390951617,0.024079654108086337,-0.039890163850458876,-0.019228092545359447,1.489512603062471,-0.0030411346271331345,-0.005319136684955407,-0.016913139989311186,-0.0016996360326906323
0.1,0.030158242215545007,-0.03869216583425427,-0.0028878022527039707,1.490159321521904,0.026755171231207044,-0.044322404278287646,-0.02136454727262161,1.4883473367360789,-0.003403070984337963,-0.005630238444033375,-0.01847674501991764,-0.001811984785825116
0.11,0.033157053914134586,-0.042813537167442815,-0.003519295488819385,1.4891050229465097,0.029430688354327748,-0.04875464470611641,-0.02350100199988377,1.4871820704096868,-0.0037263655598068386,-0.005941107538673593,-0.019981706511064384,-0.0019229525368229528
0.12,0.03611806466833334,-0.046934907904697766,-0.004207786399994394,1.488049370071226,0.03210620547744845,-0.05318688513394517,-0.02563745672714593,1.4860168040832946,-0.004011859190884891,-0.006251977229247405,-0.021429670327151536,-0.002032565987931445
0.13,0.039038226604023285,-0.051056008526034834,-0.004957433210747448,1.4869922505291233,0.03478172260056916,-0.05761912556177393,-0.027773911454408093,1.4848515377569025,-0.004256504003454127,-0.0065631170357390994,-0.022816478243660645,-0.002140712772220832
0.14,0.04192002596688123,-0.05517659142081987,-0.005764084208832278,1.4859337505524222,0.03745723972368986,-0.0620513659896027,-0.029910366181670256,1.4836862714305104,-0.004462786243191366,-0.0068747745687828335,-0.02414628197283798,-0.0022474791219118107
0.15,0.04476478325805276,-0.0592964466118773,-0.006625406025678545,1.4848739150539239,0.040132756846810565,-0.06648360641743147,-0.03204682090893241,1.4825210051041182,-0.0046320264112421974,-0.0071871598055541636,-0.02542141488325387,-0.002352909949805637
0.16,0.04757020135482732,-0.0634152746108729,-0.007544373815968592,1.4838126583116467,0.04280827396993127,-0.07091584684526023,-0.034183275636194575,1.4813557387777263,-0.004761927384896052,-0.007500572234387326,-0.026638901820225984,-0.0024569195339203542
0.17,0.050337414113847276,-0.06753284149177911,-0.008518895131583734,1.4827500181183095,0.04548379109305198,-0.07534808727308899,-0.03631973036345674,1.4801904724513342,-0.004853623020795297,-0.007815245781309876,-0.027800835231873003,-0.0025595456669753602
0.18,0.05306834153065007,-0.07164898207245572,-0.009545803740243521,1.4816860610973177,0.048159308216172675,-0.07978032770091775,-0.038456185090718895,1.479025206124942,-0.004909033314477396,-0.00813134562846203,-0.028910381350475373,-0.0026608549723756703
0.19,0.05576154292772866,-0.07576340144664648,-0.010626788661236198,1.4806207319430225,0.05083482533929338,-0.08421256812874651,-0.04059263981798106,1.47785993979855,-0.004926717588435284,-0.008449166682100037,-0.029965851156744862,-0.002760792144472557
0.2,0.05841658310216247,-0.07987581614680941,-0.01176204042788983,1.4795540115009709,0.05351034246241409,-0.08864480855657529,-0.04272909454524322,1.4766946734721578,-0.0049062406397483785,-0.008768992409765877,-0.03096705411735339,-0.0028593380288131076
0.21,0.061036092104799926,-0.0839861338248061,-0.012947439485458923,1.4784859928688974,0.056185859585534785,-0.09307704898440404,-0.04486554927250538,1.4755294071457656,-0.004850232519265141,-0.009090915159597937,-0.031918109787046456,-0.0029565857231317327
0.22,0.06361958239300605,-0.08809410414942143,-0.014183308593440696,1.4774166563250624,0.058861376708655495,-0.09750928941223282,-0.04700200399976754,1.4743641408193735,-0.004758205684350557,-0.00941518526281139,-0.03281869540632684,-0.0030525155056888575
0.23,0.06616485110168716,-0.09219931958644613,-0.015472298473061856,1.4763459196871804,0.0615368938317762,-0.10194152984006158,-0.0491384587270297,1.4731988744929814,-0.004627957269910957,-0.00974221025361545,-0.03366616025396785,-0.0031470451941990607
0.24,0.06867533983198423,-0.09630179449921066,-0.016809239368725772,1.4752739077025483,0.0642124109548969,-0.10637377026789034,-0.05127491345429186,1.4720336081665892,-0.004462928877087338,-0.010071975768679686,-0.034465674085566084,-0.003240299535959057
0.25,0.07115126670260095,-0.10040133722376936,-0.018193484562386845,1.4742006272328911,0.0668879280780176,-0.1108060106957191,-0.05341136818155402,1.4708683418401973,-0.004263338624583349,-0.010404673471949746,-0.03521788361916718,-0.0033322853926938123
0.26,0.07358948635952431,-0.10449742375670301,-0.019628912400808402,1.4731259614782117,0.06956344520113832,-0.11523825112354787,-0.055547822908816186,1.4697030755138052,-0.004026041158385993,-0.010740827366844855,-0.03591891050800779,-0.0034228859644065412
0.27,0.0759933384688992,-0.10859012211305102,-0.021110594099549077,1.4720500317473317,0.07223896232425901,-0.11967049155137664,-0.05768427763607835,1.468537809187413,-0.0037543761446401924,-0.011080369438325618,-0.036573683536529275,-0.0035122225599186763
0.28,0.0783633761168874,-0.11267927888533998,-0.02263743926660899,1.4709728570996747,0.07491447944737972,-0.1241027319792054,-0.05982073236334051,1.467372542861021,-0.0034488966695076784,-0.01142345309386543,-0.03718329309673152,-0.0036003142386538123
0.29,0.08069770401074128,-0.11676446079556008,-0.02421158810054637,1.4698943663571726,0.07758999657050042,-0.12853497240703415,-0.06195718709060266,1.4662072765346288,-0.003107707440240859,-0.011770511611474077,-0.03774559899005629,-0.003687089822543843
0.3,0.08299728758256573,-0.12084553262526024,-0.02583135677656103,1.468814593712672,0.08026551369362113,-0.13296721283486293,-0.06409364181786482,1.4650420102082367,-0.0027317738889446053,-0.012121680209602692,-0.038262285041303794,-0.003772583504435323
0.31,0.0852638002077224,-0.1249224792805626,-0.0274941921369109,1.4677335998941148,0.08294103081674183,-0.13739945326269168,-0.06623009654512699,1.4638767438818445,-0.0023227693909805697,-0.012476973982129075,-0.03873590440821609,-0.00385685601227026
0.32,0.08749666314487632,-0.1289950157981889,-0.029200491882235155,1.466651363316114,0.08561654793986254,-0.14183169369052046,-0.06836655127238915,1.4627114775554524,-0.0018801152050137854,-0.01283667789233156,-0.039166059390153996,-0.003939885760661621
0.33,0.08969432966125995,-0.1330626927395097,-0.030951840606098298,1.4655678271083763,0.08829206506298325,-0.14626393411834923,-0.07050300599965131,1.4615462112290603,-0.0014022645982767062,-0.013201241378839518,-0.039551165393553016,-0.004021615879316043
0.34,0.09185966449176874,-0.13712568608441994,-0.03274420340160552,1.464483097371764,0.09096758218610396,-0.15069617454617798,-0.07263946072691348,1.4603809449026681,-0.0008920823056647875,-0.01357048846175804,-0.03989525732530796,-0.004102152469095843
0.35000000000000003,0.0939928842402584,-0.14118382814999686,-0.03457697122745575,1.4633971824690626,0.09364309930922465,-0.15512841497400676,-0.07477591545417564,1.459215678576276,-0.000349784931033742,-0.013944586824009897,-0.04019894422671989,-0.004181503892786598
