model,Tw,Hinf,Fmax,z_Fmax,Fp0,Gp0,Tp0,thermal_thickness,rho_wall_linear,nodes,zmax
lopez,1.05,-0.8879778617797774,0.17978090869767885,0.9400000000000001,0.4968556626093115,0.603874626689169,-0.016400285375093956,2.063354039411248,0.95,694,20.0
lopez,1.1,-0.8913196536422041,0.17872556601625386,0.96,0.48317313527937106,0.5917067361082882,-0.03273420270577007,2.0632380905604393,0.8999999999999999,684,20.0
lopez,1.2,-0.8974580824606612,0.17639099123314794,0.995,0.45482320074803406,0.5669994879649782,-0.0651405988421485,2.0648235941857993,0.8,668,20.0
lopez,1.5,-0.9101874759420071,0.1671805345003284,1.1400000000000001,0.3603475747003764,0.4897064302208425,-0.15880524071159097,2.088353656780356,0.5,647,20.0
lopez,1.05,-0.8879786240122906,0.17978091589656775,0.9400000000000001,0.49685566723759206,0.6038746122674429,-0.01640021018161507,2.0634463821910716,0.95,1017,40.0
lopez,1.1,-0.8913204798321551,0.17872557728399704,0.96,0.48317314126827426,0.591706705983904,-0.032734059359992004,2.063326795032927,0.8999999999999999,1013,40.0
lopez,1.2,-0.8974590313048059,0.1763890855798487,1.0,0.45482320777697754,0.5669994273209431,-0.06514033635487719,2.06490613111009,0.8,1007,40.0
lopez,1.5,-0.9101888203402988,0.16718056854094818,1.1400000000000001,0.3603475691609044,0.4897062719611709,-0.1588046938229039,2.0884261396584436,0.5,973,40.0
lopez,1.05,-0.8879786240125606,0.17977893748954688,0.945,0.49685566723759766,0.6038746122673976,-0.01640021018140348,2.063449799413724,0.95,1417,60.0
lopez,1.1,-0.8913204798326276,0.1787255772840198,0.96,0.4831731412682834,0.5917067059838188,-0.032734059359607576,2.0633302052995512,0.8999999999999999,1413,60.0
lopez,1.2,-0.8974590313056007,0.17638805583700076,0.99,0.4548232077769887,0.5669994273207906,-0.0651403363542327,2.064909524235046,0.8,1407,60.0
lopez,1.5,-0.9101888203417762,0.16718056854101132,1.14,0.36034756916088784,0.48970627196084443,-0.15880469382178525,2.088429448381833,0.5,1373,60.0
