r,z,U,V,W,T,rho,mu,kappa,Mr
1.0000000000000000e+00,0.0000000000000000e+00,-2.5490454569301323e-20,-4.8438866781781674e-20,-5.1343725466464837e-20,1.5000000000000000e+00,6.6666666666666663e-01,1.3580981811706159e+00,1.8862474738480777e+00,1.4999999999999999e-02
1.0000000000000000e+00,2.5000000000000000e-01,7.4929286922583022e-02,-1.1064754162344984e-01,-3.7464643460641843e-02,1.4700274267675599e+00,6.8025941679122126e-01,1.3385180767775260e+00,1.8590528844132306e+00,1.4999999999999999e-02
1.0000000000000000e+00,5.0000000000000000e-01,1.2554119136751446e-01,-2.1815561525210170e-01,-9.9462610755140998e-02,1.4397112456846444e+00,6.9458372503331889e-01,1.3185021321505390e+00,1.8312529613201931e+00,1.4999999999999999e-02
1.0000000000000000e+00,7.5000000000000000e-01,1.5663472715524310e-01,-3.1943062649030268e-01,-1.7567317325837933e-01,1.4092155130136690e+00,7.0961466912995885e-01,1.2981471674684102e+00,1.8029821770394587e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.0000000000000000e+00,1.7254769773502512e-01,-4.1261901435441373e-01,-2.5815114641686471e-01,1.3787657475535589e+00,7.2528636700931282e-01,1.2775959662047267e+00,1.7744388419510093e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.2500000000000000e+00,1.7706558950384677e-01,-4.9679338337647405e-01,-3.4104096966838521e-01,1.3486270636262805e+00,7.4149483350210377e-01,1.2570249914784577e+00,1.7458680437200802e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.5000000000000000e+00,1.7338984753962486e-01,-5.7169404254502421e-01,-4.2026461080676558e-01,1.3190823025910392e+00,7.5810280983660072e-01,1.2366311351212984e+00,1.7175432432240256e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.7500000000000000e+00,1.6414820028634869e-01,-6.3752200192950781e-01,-4.9320407722599424e-01,1.2904114762088528e+00,7.7494661078025806e-01,1.2166182571913331e+00,1.6897475794324071e+00,1.4999999999999999e-02
1.0000000000000000e+00,2.0000000000000000e+00,1.5143318196512695e-01,-6.9477779421941710e-01,-5.5839561159068718e-01,1.2628738817846836e+00,7.9184470787123074e-01,1.1971844496887032e+00,1.6627561801231989e+00,1.4999999999999999e-02
1.0000000000000000e+00,2.2500000000000000e+00,1.3685802277728923e-01,-7.4413963031464758e-01,-6.1524885256521145e-01,1.2366939874841565e+00,8.0860747292410617e-01,1.1785109350343754e+00,1.6368207431032993e+00,1.4999999999999999e-02
1.0000000000000000e+00,2.5000000000000000e+00,1.2162157305260753e-01,-7.8637420910593092e-01,-6.6380024773667201e-01,1.2120517383382909e+00,8.2504728830387108e-01,1.1607533281314866e+00,1.6121574001826202e+00,1.4999999999999999e-02
1.0000000000000000e+00,2.7500000000000000e+00,1.0657596518784583e-01,-8.2227379847006143e-01,-7.0450596371889584e-01,1.1890774202802092e+00,8.4098813327423827e-01,1.1440357046172824e+00,1.5889384786351146e+00,1.4999999999999999e-02
1.0000000000000000e+00,3.0000000000000000e+00,9.2292400362028876e-02,-8.5261381858853602e-01,-7.3807575874663234e-01,1.1678507450643585e+00,8.5627380401670383e-01,1.1284475892325159e+00,1.5672883183784942e+00,1.4999999999999999e-02
1.0000000000000000e+00,3.2500000000000000e+00,7.9121863155273919e-02,-8.7812594797966459e-01,-7.6534610263079295e-01,1.1484034570143811e+00,8.7077411156511120e-01,1.1140436676359611e+00,1.5472828717166127e+00,1.4999999999999999e-02
1.0000000000000000e+00,3.5000000000000000e+00,6.7248767447780119e-02,-8.9948262389460865e-01,-7.8718849283943026e-01,1.1307245507685153e+00,8.8438868628114053e-01,1.1008457811279613e+00,1.5289524737888351e+00,1.4999999999999999e-02
1.0000000000000000e+00,3.7500000000000000e+00,5.6736538760111671e-02,-9.1728963738821434e-01,-8.0444751542463744e-01,1.1147671299591619e+00,8.9704833693529673e-01,1.0888466153267911e+00,1.5122869657316542e+00,1.4999999999999999e-02
1.0000000000000000e+00,4.0000000000000000e+00,4.7564939807262674e-02,-9.3208427270452165e-01,-8.1790267255466420e-01,1.1004560051401195e+00,9.0871420150292281e-01,1.0780144467389496e+00,1.4972422871374300e+00,1.4999999999999999e-02
1.0000000000000000e+00,4.2500000000000000e+00,3.9659543236645167e-02,-9.4433707953355273e-01,-8.2824816910869759e-01,1.0876952845622487e+00,9.1937513584280883e-01,1.0682983514057902e+00,1.4837477102858199e+00,1.4999999999999999e-02
1.0000000000000000e+00,4.5000000000000000e+00,3.2914153569987108e-02,-9.5445588552280192e-01,-8.3608549165215074e-01,1.0763754091567612e+00,9.2904389257963993e-01,1.0596333808672713e+00,1.4717130289823213e+00,1.4999999999999999e-02
1.0000000000000000e+00,4.7500000000000000e+00,2.7207198809283781e-02,-9.6279106098661216e-01,-8.4192450023780041e-01,1.0663792846627771e+00,9.3775264990845320e-01,1.0519453421746920e+00,1.4610351974648501e+00,1.4999999999999999e-02
1.0000000000000000e+00,5.0000000000000000e+00,2.2413183000063092e-02,-9.6964135300816068e-01,-8.4618970402902915e-01,1.0575873418101431e+00,9.4554838212078263e-01,1.0451549536676144e+00,1.4516041023161310e+00,1.4999999999999999e-02
1.0000000000000000e+00,5.2500000000000000e+00,1.8410253040937581e-02,-9.7525983062396637e-01,-8.4922927996373054e-01,1.0498814949608632e+00,9.5248845207741972e-01,1.0391812674994836e+00,1.4433073159715051e+00,1.4999999999999999e-02
1.0000000000000000e+00,5.5000000000000000e+00,1.5084825167509194e-02,-9.7985964473913478e-01,-8.5132514966758321e-01,1.0431480665534003e+00,9.5863668070059971e-01,1.0339443430838877e+00,1.4360338098387331e+00,1.4999999999999999e-02
1.0000000000000000e+00,5.7500000000000000e+00,1.2334072809575474e-02,-9.8361942156614290e-01,-8.5270302819238397e-01,1.0372798025612451e+00,9.6406003233727866e-01,1.0293672199795250e+00,1.4296766944160069e+00,1.4999999999999999e-02
1.0000000000000000e+00,6.0000000000000000e+00,1.0066924037162774e-02,-9.8668818919560808e-01,-8.5354180331476037e-01,1.0321771305292917e+00,9.6882596060543258e-01,1.0253772767171754e+00,1.4241351065516326e+00,1.4999999999999999e-02
1.0000000000000000e+00,6.2500000000000000e+00,8.2040711714770551e-03,-9.8918979279110841e-01,-8.5398191682823676e-01,1.0277488154065029e+00,9.7300039173917463e-01,1.0219070789412414e+00,1.4193153874183910e+00,1.4999999999999999e-02
1.0000000000000000e+00,6.5000000000000000e+00,6.6773673645595787e-03,-9.9122679171817207e-01,-8.5413262642166032e-01,1.0239121575663341e+00,9.7664628025985234e-01,1.0188948220262684e+00,1.4151316972587060e+00,1.4999999999999999e-02
1.0000000000000000e+00,6.7500000000000000e+00,5.4288792268560419e-03,-9.9288385664088874e-01,-8.5407815505504847e-01,1.0205928587587294e+00,9.7982265054864781e-01,1.0162844655911432e+00,1.4115062022099212e+00,1.4999999999999999e-02
1.0000000000000000e+00,7.0000000000000000e+00,4.4097811278491208e-03,-9.9423069986802526e-01,-8.5388280734424460e-01,1.0177246601094634e+00,9.8258403200374744e-01,1.0140256445291593e+00,1.4083689507349435e+00,1.4999999999999999e-02
1.0000000000000000e+00,7.2500000000000000e+00,3.5792135214279606e-03,-9.9532458067658713e-01,-8.5359516770624766e-01,1.0152488348360671e+00,9.8498019961921024e-01,1.0120734265084230e+00,1.4056575368172544e+00,1.4999999999999999e-02
1.0000000000000000e+00,7.5000000000000000e+00,2.9031813923145007e-03,-9.9621243098439305e-01,-8.5325150656159598e-01,1.0131135988998470e+00,9.8705614166655431e-01,1.0103879714475172e+00,1.4033166270104407e+00,1.4999999999999999e-02
1.0000000000000000e+00,7.7500000000000000e+00,2.3535362724366096e-03,-9.9693264709162444e-01,-8.5287851838368967e-01,1.0112734862070054e+00,9.8885218849226530e-01,1.0089341354142889e+00,1.4012974102976234e+00,1.4999999999999999e-02
1.0000000000000000e+00,8.0000000000000000e+00,1.9070630577453973e-03,-9.9751659139761406e-01,-8.5249550531260043e-01,1.0096887214174766e+00,9.9040424913940328e-01,1.0076810502684845e+00,1.3995570142617841e+00,1.4999999999999999e-02
1.0000000000000000e+00,8.2500000000000000e+00,1.5446783474217061e-03,-9.9798984486500963e-01,-8.5211610657942793e-01,1.0083246127528076e+00,9.9174411429858811e-01,1.0066017012941837e+00,1.3980579184641442e+00,1.4999999999999999e-02
1.0000000000000000e+00,8.5000000000000000e+00,1.2507380360051784e-03,-9.9837324716088949e-01,-8.5174965964501559e-01,1.0071509790603645e+00,9.9289979436148079e-01,1.0056725179254649e+00,1.3967673860075902e+00,1.4999999999999999e-02
1.0000000000000000e+00,8.7500000000000000e+00,1.0124467234436836e-03,-9.9868375728516856e-01,-8.5140226518097040e-01,1.0061416193688184e+00,9.9389586987498713e-01,1.0048729872180191e+00,1.3956569266916932e+00,1.4999999999999999e-02
1.0000000000000000e+00,9.0000000000000000e+00,8.1935890989692165e-04,-9.9893516339303978e-01,-8.5107761554020489e-01,1.0052738288413818e+00,9.9475383851635713e-01,1.0041852956775732e+00,1.3947017995521851e+00,1.4999999999999999e-02
1.0000000000000000e+00,9.2500000000000000e+00,6.6296100329747579e-04,-9.9913866661706174e-01,-8.5077763547049601e-01,1.0045279620227088e+00,9.9549244800155556e-01,1.0035940021448300e+00,1.3938805585344862e+00,1.4999999999999999e-02
1.0000000000000000e+00,9.5000000000000000e+00,5.3632325123981618e-04,-9.9930336010501086e-01,-8.5050297455871704e-01,1.0038870422632198e+00,9.9612800833203641e-01,1.0030857424057429e+00,1.3931746422301985e+00,1.4999999999999999e-02
1.0000000000000000e+00,9.7500000000000000e+00,4.3381138017596193e-04,-9.9943662126561661e-01,-8.5025338315306154e-01,1.0033364149314192e+00,9.9667467971682533e-01,1.0026489648334054e+00,1.3925680067130630e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.0000000000000000e+01,3.5084869628219587e-04,-9.9954443237171631e-01,-8.5002799713596333e-01,1.0028634412853232e+00,9.9714473459950514e-01,1.0022736955006570e+00,1.3920467993064682e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.0250000000000000e+01,2.8372048947569435e-04,-9.9963164220044953e-01,-8.4982555172070273e-01,1.0024572295112193e+00,9.9754879366532434e-01,1.0019513306944945e+00,1.3915990704090202e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.0500000000000000e+01,2.2941367208797025e-04,-9.9970217926904736e-01,-8.4964454024113578e-01,1.0021083993329125e+00,9.9789603666198579e-01,1.0016744545093490e+00,1.3912145201518737e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.0750000000000000e+01,1.8548561188753347e-04,-9.9975922542066598e-01,-8.4948333052533198e-01,1.0018088766600215e+00,9.9819438946672923e-01,1.0014366791169973e+00,1.3908842765513851e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.1000000000000000e+01,1.4995705221346891e-04,-9.9980535699226947e-01,-8.4934024874262293e-01,1.0015517149165551e+00,9.9845068917216673e-01,1.0012325053478524e+00,1.3906007018720172e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.1250000000000000e+01,1.2122483663956834e-04,-9.9984265952021112e-01,-8.4921363846493902e-01,1.0013309399256607e+00,9.9867082912093030e-01,1.0010572013287302e+00,1.3903572240676809e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.1500000000000000e+01,9.7990870700287981e-05,-9.9987282087498064e-01,-8.4910190097718463e-01,1.0011414154921365e+00,9.9885988585181495e-01,1.0009066970758305e+00,1.3901481903830979e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.1750000000000000e+01,7.9204364600847163e-05,-9.9989720683338557e-01,-8.4900352152604575e-01,1.0009787270996646e+00,9.9902222987045841e-01,1.0007774931172233e+00,1.3899687404405880e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.2000000000000000e+01,6.4014917915987212e-05,-9.9991692236629470e-01,-8.4891708513311237e-01,1.0008390814108545e+00,9.9916162205649317e-01,1.0006665814021427e+00,1.3898146963918649e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.2250000000000000e+01,5.1734440927122121e-05,-9.9993286131844517e-01,-8.4884128476569920e-01,1.0007192195165342e+00,9.9928129738841065e-01,1.0005713769354394e+00,1.3896824679658881e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.2500000000000000e+01,4.1806268500641838e-05,-9.9994574666247005e-01,-8.4877492400455390e-01,1.0006163421211260e+00,9.9938403752249383e-01,1.0004896587484664e+00,1.3895689704839811e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.2750000000000000e+01,3.3780121754366089e-05,-9.9995616310408109e-01,-8.4871691583741382e-01,1.0005280450710590e+00,9.9947223361338011e-01,1.0004195189791214e+00,1.3894715541376688e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.3000000000000000e+01,2.7291819738153110e-05,-9.9996458348383421e-01,-8.4866627881025858e-01,1.0004522638320041e+00,9.9954794061810426e-01,1.0003593189817566e+00,1.3893879430302174e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.3250000000000000e+01,2.2046846416716598e-05,-9.9997139015018954e-01,-8.4862213145936494e-01,1.0003872256987583e+00,9.9961292418694392e-01,1.0003076515217117e+00,1.3893161826690441e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.3500000000000000e+01,1.7807044719615280e-05,-9.9997689225781550e-01,-8.4858368570950704e-01,1.0003314086797030e+00,9.9966870111562278e-01,1.0002633082293464e+00,1.3892545947629811e+00,1.4999999999999999e-02
1.0000000000000000e+00,1.3750000000000000e+01,1.4379845585794729e-05,-9.9998133976530146e-01,-8.4855023973939525e-01,1.0002835061373332e+00,9.9971657421561622e-01,1.0002252515952696e+00,1.3892017383267634e+00,1.4999999999999999e-02
