r,Mr,Umax,z_Umax,Vmin,z_Vmin,Wmin,z_Wmin,Tmin,Tmax
1.0000000000000000e+00,1.4999999999999999e-02,1.7706558950384677e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5413262642166032e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.4750000000000001e+00,2.2124999999999999e-02,1.8157732512341962e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-7.9953750773135535e-01,7.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.9500000000000000e+00,2.9249999999999998e-02,1.8115581382856402e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5052264006642642e-01,5.7500000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
2.4249999999999998e+00,3.6374999999999998e-02,1.7946951855568305e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.4237975011768240e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
2.8999999999999999e+00,4.3499999999999997e-02,1.7829030171622312e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.4502845481016020e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
3.3750000000000000e+00,5.0624999999999996e-02,1.7769460302869133e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.4792076842619846e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
3.8500000000000001e+00,5.7749999999999996e-02,1.7741936447934745e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5011002776360911e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
4.3250000000000002e+00,6.4875000000000002e-02,1.7728593963697808e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5158924820589321e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
4.7999999999999998e+00,7.1999999999999995e-02,1.7721323089653859e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5252127977964920e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
5.2750000000000004e+00,7.9125000000000001e-02,1.7716905438298067e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5308582840031344e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
