r,z,U,V,W,T,rho,mu,kappa,Mr,u_physical,v_rotating_physical,v_inertial_physical
2.0000000000000000e+01,0.0000000000000000e+00,5.9646158034075098e-23,2.6908917191861253e-24,-9.0519260620409966e-25,1.5000000000000000e+00,6.6666666666666663e-01,1.3580981811706159e+00,1.8862474738480777e+00,2.9999999999999999e-01,1.1929231606815020e-21,5.3817834383722506e-23,2.0000000000000000e+01
2.0000000000000000e+01,2.5000000000000000e-01,7.4900847792493008e-02,-1.1057906249905290e-01,-3.7403318772038466e-02,1.4713141375262830e+00,6.7966450841103021e-01,1.3393628708283698e+00,1.8602262094838471e+00,2.9999999999999999e-01,1.4980169558498602e+00,-2.2115812499810579e+00,1.7788418750018941e+01
2.0000000000000000e+01,5.0000000000000000e-01,1.2548257343945016e-01,-2.1796618452092575e-01,-9.9271916388418743e-02,1.4419083983631744e+00,6.9352533152257101e-01,1.3199600509426612e+00,1.8332778485314740e+00,2.9999999999999999e-01,2.5096514687890030e+00,-4.3593236904185151e+00,1.5640676309581485e+01
2.0000000000000000e+01,7.5000000000000000e-01,1.5657164121950540e-01,-3.1909990163550067e-01,-1.7531270301662852e-01,1.4120273737231508e+00,7.0820156790817645e-01,1.3000334183779763e+00,1.8056019699694115e+00,2.9999999999999999e-01,3.1314328243901079e+00,-6.3819980327100136e+00,1.3618001967289985e+01
2.0000000000000000e+01,1.0000000000000000e+00,1.7251062525160785e-01,-4.1215289680093237e-01,-2.5761656327293608e-01,1.3819611452632050e+00,7.2360934562276891e-01,1.2797634503391344e+00,1.7774492365821313e+00,2.9999999999999999e-01,3.4502125050321570e+00,-8.2430579360186478e+00,1.1756942063981352e+01
2.0000000000000000e+01,1.2500000000000000e+00,1.7707818892357319e-01,-4.9621499978798433e-01,-3.4035835652553131e-01,1.3520268306182639e+00,7.3963029235352773e-01,1.2593571258679312e+00,1.7491071192610157e+00,2.9999999999999999e-01,3.5415637784714638e+00,-9.9242999957596858e+00,1.0075700004240314e+01
2.0000000000000000e+01,1.5000000000000000e+00,1.7346476042681971e-01,-5.7103514752838525e-01,-4.1947911866953452e-01,1.3225493077412491e+00,7.5611547648675304e-01,1.2390362193678932e+00,1.7208836380109629e+00,2.9999999999999999e-01,3.4692952085363942e+00,-1.1420702950567705e+01,8.5792970494322951e+00
2.0000000000000000e+01,1.7500000000000000e+00,1.6428725113315837e-01,-6.3681628459314232e-01,-4.9236811277073406e-01,1.2938426550367088e+00,7.7289150740792978e-01,1.2190250353787477e+00,1.6930903269149276e+00,2.9999999999999999e-01,3.2857450226631673e+00,-1.2736325691862847e+01,7.2636743081371531e+00
2.0000000000000000e+01,2.0000000000000000e+00,1.5162976223410415e-01,-6.9405640998080076e-01,-5.5755932773148908e-01,1.2661938018170125e+00,7.8976851613471866e-01,1.1995385824357545e+00,1.6660258089385480e+00,2.9999999999999999e-01,3.0325952446820832e+00,-1.3881128199616015e+01,6.1188718003839853e+00
2.0000000000000000e+01,2.2500000000000000e+00,1.3710018353668862e-01,-7.4342870699731456e-01,-6.1445394748843851e-01,1.2398495879598812e+00,8.0654944737728762e-01,1.1807721468887120e+00,1.6399613151232111e+00,2.9999999999999999e-01,2.7420036707337725e+00,-1.4868574139946292e+01,5.1314258600537084e+00
2.0000000000000000e+01,2.5000000000000000e+00,1.2189494731909219e-01,-7.8569385953254800e-01,-6.6307697655781428e-01,1.2150079692949165e+00,8.2303986909675320e-01,1.1628930441709449e+00,1.6151292280152012e+00,2.9999999999999999e-01,2.4378989463818437e+00,-1.5713877190650960e+01,4.2861228093490400e+00
2.0000000000000000e+01,2.7500000000000000e+00,1.0686608380701434e-01,-8.2163815075828461e-01,-7.0387269693499310e-01,1.1918135810813928e+00,8.3905739611781349e-01,1.1460350384630367e+00,1.5917153311986620e+00,2.9999999999999999e-01,2.1373216761402869e+00,-1.6432763015165690e+01,3.5672369848343077e+00
2.0000000000000000e+01,3.0000000000000000e+00,9.2586265439043205e-02,-8.5203164721329827e-01,-7.3754023503045973e-01,1.1703573843835648e+00,8.5443986028823726e-01,1.1302955895370297e+00,1.5698549854680968e+00,2.9999999999999999e-01,1.8517253087808641e+00,-1.7040632944265965e+01,2.9593670557340346e+00
2.0000000000000000e+01,3.2500000000000000e+00,7.9408824757476293e-02,-8.7760159163740659e-01,-7.6490757721593539e-01,1.1506797430036755e+00,8.6905153764995569e-01,1.1157357676463344e+00,1.5496330106199090e+00,2.9999999999999999e-01,1.5881764951495259e+00,-1.7552031832748131e+01,2.4479681672518683e+00
2.0000000000000000e+01,3.5000000000000000e+00,6.7520840685473954e-02,-8.9901697691833860e-01,-7.8684015713280087e-01,1.1327760514426137e+00,8.8278702460780245e-01,1.1023824235783188e+00,1.5310866994143317e+00,2.9999999999999999e-01,1.3504168137094790e+00,-1.7980339538366771e+01,2.0196604616332281e+00
