Fig. 21 forcing-location scan
Parameters: a_s=0, Re_h=1000, omega_bar=0, n=30, c^2=1, N=99
Existing alpha_i source = \\wsl.localhost\Ubuntu-24.04\home\zhj\Rotating-Flow-ToolKit\TwoDisk\c_6_validation_results\c6_lower_neutral_A_N.dat
Lower neutral radius = 287.8216088946
Forcing-radius step = 25.0
Forcing-radius final point = 500.0
Maximum-growth radius R_g = 372.988887508
Maximum-receptivity radius R_p = 468.90953159
Downstream target radius = 570.0

# label R_f Cr_abs N_at_570 gain_at_570 A_abs_at_570 points adjoint_error
R_f=287.821609 2.878216088946e+02 1.435949172931e-01 4.336183920906e+00 7.641537511652e+01 1.097285946978e+01 284 3.433946574886e-12
R_f=312.821609 3.128216088946e+02 1.569720173226e-01 4.136201157092e+00 6.256469598334e+01 9.820906541679e+00 259 3.608649320834e-12
R_f=337.821609 3.378216088946e+02 1.729530305594e-01 3.607390322057e+00 3.686970908989e+01 6.376727922941e+00 234 3.915514547376e-12
R_f=362.821609 3.628216088946e+02 1.888702399558e-01 2.870872070547e+00 1.765240563243e+01 3.334014087596e+00 209 4.325803964304e-12
R_g_maximum_spatial_growth 3.729888875080e+02 1.939633253799e-01 2.544606962174e+00 1.273822049955e+01 2.470747607516e+00 199 4.545605956494e-12
R_f=387.821609 3.878216088946e+02 1.988404303027e-01 2.071308552584e+00 7.935199953455e+00 1.577838573283e+00 184 4.809418647675e-12
R_f=412.821609 4.128216088946e+02 2.018231697212e-01 1.352639155387e+00 3.867619321649e+00 7.805751907702e-01 159 5.180494608086e-12
R_f=437.821609 4.378216088946e+02 2.120998625231e-01 8.103080620740e-01 2.248600588550e+00 4.769278757006e-01 134 5.839516997658e-12
R_f=462.821609 4.628216088946e+02 2.404870724452e-01 4.773740820140e-01 1.611836290256e+00 3.876257907047e-01 109 7.244178353199e-12
R_p_maximum_receptivity 4.689095315900e+02 2.444149613835e-01 4.259424422566e-01 1.531032649813e+00 3.742072859809e-01 103 7.585957262095e-12
R_f=487.821609 4.878216088946e+02 1.987695548645e-01 3.114007100410e-01 1.365336215517e+00 2.713872717986e-01 84 6.842071494104e-12
R_f=500.000000 5.000000000000e+02 1.597513519940e-01 2.533054531231e-01 1.288276724891e+00 2.058039485437e-01 72 5.830555893339e-12

Tecplot file = \\wsl.localhost\Ubuntu-24.04\home\zhj\Rotating-Flow-ToolKit\TwoDisk\fig21_forcing_scan_step25_results\fig21_N_A_forcing_scan_step25.dat
