Tw,z_physical,F_c,G_c,H_c,T_c,rho_c
1.0,0.0,-0.0,-0.0,-3.3262304882248815e-25,1.0,1.0
1.0,0.008000134085763267,0.002032943610705716,-0.002463677188172406,-8.142676026537453e-06,1.0000335214408167,0.9999664796828326
1.0,0.012000401202947885,0.004049965940166511,-0.00492728947744548,-3.2486805219674636e-05,1.0000667792961544,0.9999332251630222
1.0,0.016000800303789975,0.0060511455415885405,-0.007390772534179681,-7.290689087784157e-05,1.0000997752105227,0.9999002347435767
1.0,0.0200013303471037,0.008036560763852387,-0.009854062715637837,-0.00012927804828306538,1.0001325108284316,0.9998675067283617
1.0,0.024001990298281265,0.010006289751193565,-0.012317097060709993,-0.00020147600050033937,1.000164987794391,0.999835039422091
1.0,0.028002779129292908,0.011960410470271628,-0.014779813193723507,-0.00028937698977266394,1.0001972077529107,0.9998028311303191
1.0,0.03200369581868691,0.01389900066197472,-0.017242149473429176,-0.0003928579244322008,1.0002291723485006,0.9997708801594314
1.0,0.03600473935158959,0.015822137888889344,-0.01970404483100775,-0.0005117962268058914,1.0002608832256705,0.9997391848166358
1.0,0.040005908719684596,0.01772989950331661,-0.0221654388659711,-0.0006460699292157304,1.0002923420237515,0.99970774341513
1.0,0.04400720292099825,0.01962236264897697,-0.024626271831236515,-0.000795557663883906,1.0003235503284138,0.9996765543225413
1.0,0.04800862095977456,0.021499604287237677,-0.027086484545412823,-0.0009601385801663948,1.000354509694077,0.9996456159385083
1.0,0.05201016184647379,0.02336170114859992,-0.02954601853410051,-0.0011396924874189323,1.0003852216748084,0.9996149266637872
1.0,0.05601182459777249,0.02520872978181341,-0.032004815872545805,-0.0013340997034152842,1.0004156878246757,0.9995844848998924
1.0,0.06001360823656348,0.0270407665198104,-0.03446281928232237,-0.001543241153370906,1.0004459096977467,0.9995542890490887
1.0,0.06401551179195583,0.028857887483505987,-0.03691997211120051,-0.0017669983541952114,1.0004758888480885,0.9995243375143839
1.0,0.0680175342992749,0.030660168607011557,-0.03937621825354854,-0.0020052533376242044,1.000505626829769,0.9994946286995195
1.0,0.07201967480005994,0.03244768558900827,-0.041831502284061566,-0.0022578887888214812,1.0005351251962609,0.9994651610095588
1.0,0.07602193234193459,0.034220513943336674,-0.044285769305200194,-0.002524787895559902,1.0005643854686643,0.9994359328826201
1.0,0.08002430597841709,0.03597872896290468,-0.04673896504429958,-0.0028058344499066958,1.0005934091206254,0.9994069428049231
1.0,0.0840267947689055,0.037722405725640534,-0.0491910358286633,-0.0031009128270360698,1.000622197622102,0.9993781892670576
1.0,0.0880293977786777,0.039451619118532545,-0.051641928513719716,-0.0034099079142537007,1.000650752443052,0.9993496707602896
1.0,0.09203211407889143,0.041166443789086335,-0.05409159060931218,-0.0037327052451485623,1.0006790750534333,0.9993213857765567
1.0,0.09603494274658425,0.04286695419721795,-0.056539970132032595,-0.00406919084999064,1.0007071669232037,0.9992933328084599
1.0,0.10003788286467354,0.04455322457720183,-0.058987015702429486,-0.004419251359959174,1.0007350295223212,0.9992655103492559
1.0,0.10404093352195651,0.04622532894581947,-0.061432676515741066,-0.004782773980573363,1.0007626643207435,0.9992379168928518
1.0,0.10804409381305718,0.04788334112507905,-0.06387690227744769,-0.005159646426526186,1.0007900727751706,0.9992105509470335
1.0,0.11204736283821663,0.04952733469394613,-0.06631964332227243,-0.0055497570509890765,1.0008172562898618,0.9991834110725754
1.0,0.11605073970324215,0.051157383041368604,-0.0687608504714945,-0.005952994697571692,1.0008442162563773,0.9991564958435439
1.0,0.12005422351950726,0.052773559326339106,-0.07120047512995238,-0.00636924880678335,1.0008709540662788,0.9991298038346099
1.0,0.12405781340395178,0.05437593648826953,-0.07363846925281493,-0.0067984093843446265,1.0008974711111283,0.9991033336210432
1.0,0.12806150847908174,0.05596458726825664,-0.07607478528817338,-0.007240366941934905,1.0009237687824881,0.999077083778706
1.0,0.1320653078729694,0.057539584161268476,-0.07850937628891547,-0.007695012621981412,1.0009498484719201,0.9990510528840478
1.0,0.13606921071925335,0.059100999470129395,-0.0809421957750809,-0.008162238051183083,1.0009757115709863,0.9990252395140987
1.0,0.14007321615712462,0.06064890526377974,-0.08337319783037814,-0.008641935448797967,1.001001359467821,0.9989996422498832
1.0,0.14407732333115988,0.062183373389893354,-0.08580233706537718,-0.009133997589696553,1.0010267935088153,0.9989742597146515
1.0,0.14808153139121139,0.0637044754945683,-0.08822956856678765,-0.009638317750950375,1.0010520150128719,0.9989490905596365
1.0,0.15208583949240514,0.06521228297514256,-0.09065484800238258,-0.010154789831946058,1.0010770252984398,0.9989241334370662
1.0,0.15609024679514102,0.06670686703496924,-0.09307813148843629,-0.010683308209861131,1.0011018256839674,0.9988993869997044
1.0,0.16009475246509264,0.06818829863996265,-0.09549937568549553,-0.01122376784961169,1.001126417487904,0.9988748499008442
1.0,0.16409935567320744,0.06965664853346437,-0.09791853775836215,-0.01177606426257034,1.0011508020286979,0.998850520794304
1.0,0.16810405559570663,0.07111198725425072,-0.10033557533170816,-0.012340093458861381,1.0011749806247978,0.9988263983344204
1.0,0.17210885141408397,0.07255438509014275,-0.1027504465882356,-0.012915752062286989,1.0011989545943345,0.998802481176361
1.0,0.17611374231500881,0.0739839121334031,-0.10516311014121786,-0.013502937167671087,1.0012227252312116,0.998778767999968
1.0,0.1801187274901657,0.07540063823566472,-0.1075735251292871,-0.014101546451883213,1.0012462937892186,0.9987552575255965
1.0,0.1841238061362395,0.07680463302503898,-0.10998165117355925,-0.014711478128503909,1.0012696615184489,0.9987319484777724
1.0,0.18812897745491547,0.0781959659223442,-0.11238744833924165,-0.015332630905827399,1.0012928296689951,0.9987088395815014
1.0,0.19213424065287926,0.0795747060956657,-0.11479087722722539,-0.01596490409672156,1.0013157994909507,0.9986859295622623
1.0,0.1961395949418169,0.08094092251620898,-0.11719189885173283,-0.016608197478704533,1.0013385722344086,0.9986632171460033
1.0,0.20014503953841475,0.08229468391171202,-0.11959047473390241,-0.0172624114063675,1.001361149149462,0.9986407010591352
1.0,0.20415057366435957,0.08363605878577861,-0.12198656685639417,-0.017927446761386807,1.0013835314862038,0.9986183800285287
1.0,0.2081561965463007,0.0849651154322444,-0.12438013763065084,-0.01860320491588406,1.0014057204852804,0.9985962527909276
1.0,0.2121619074156792,0.08628192189083349,-0.1267711499821267,-0.019289587836483428,1.0014277173446262,0.9985743181261131
1.0,0.21616770550868045,0.08758654600330532,-0.12915956723302735,-0.019986497947477477,1.0014495232503111,0.9985525748261315
1.0,0.22017359006623408,0.08887905536545726,-0.13154535319449295,-0.020693838244301918,1.0014711393884088,0.9985310216834534
1.0,0.22417956033401404,0.09015951734865515,-0.13392847211900638,-0.021411512239537002,1.001492566944993,0.9985096574909726
1.0,0.22818561556243858,0.09142799911226597,-0.13630888867297494,-0.022139423931910172,1.0015138071061374,0.9984884810420023
1.0,0.23219175500667025,0.09268456756054713,-0.138686568015807,-0.0228774779058411,1.0015348610579156,0.9984674911302694
1.0,0.23619797792661584,0.09392928939892954,-0.14106147568771443,-0.02362557919694834,1.0015557299864013,0.9984466865499113
1.0,0.24020428358691742,0.0951622310847198,-0.14343357770031298,-0.024383633405868337,1.0015764150753932,0.998426066097738
1.0,0.24421067125682094,0.09638345885079146,-0.1458028404871411,-0.025151546639712665,1.0015969174758792,0.9984056286036667
1.0,0.24821714021007893,0.09759303871602425,-0.1481692308812362,-0.025929225486519027,1.0016172383144952,0.9983853729222785
1.0,0.25222368972494824,0.09879103644355354,-0.1505327161882747,-0.026716577110120925,1.0016373787173252,0.9983652979090877
1.0,0.25623031908419003,0.09997751759703506,-0.15289326407939421,-0.02751350911865021,1.0016573398104522,0.9983454024199874
1.0,0.2602370275750699,0.1011525474901607,-0.1552508426800477,-0.028319929678766287,1.0016771227199603,0.9983256853112445
1.0,0.26424381448935763,0.10231619121246402,-0.1576054205189253,-0.029135747454352205,1.001696728571933,0.9983061454394966
1.0,0.26825067912332745,0.10346851363771804,-0.15995696651020616,-0.02996087158609729,1.0017161584924537,0.998286781661747
1.0,0.2722576207777572,0.10460957938366186,-0.16230545002098273,-0.0307952117805933,1.0017354136074441,0.9982675928355228
1.0,0.2762646387578554,0.10573945286809794,-0.16465084076904668,-0.0316386781813999,1.001754495024546,0.9982485778369249
1.0,0.2802717323731242,0.10685819825733785,-0.16699310890984936,-0.032491181482803555,1.0017734038171957,0.9982297355764904
1.0,0.2842789009373447,0.10796587949406738,-0.16933222498410513,-0.03335263286608977,1.001792141055134,0.9982110649687804
1.0,0.2882861437685771,0.10906256030366566,-0.17166815990440742,-0.03422294398432139,1.0018107078081016,0.9981925649286947
1.0,0.29229346018916047,0.11014830415551637,-0.17400088501716068,-0.03510202704620716,1.0018291051458392,0.998174234371467
1.0,0.29630084952571284,0.11122317431879343,-0.176330372005263,-0.035989794691028996,1.0018473341380878,0.9981560722126619
1.0,0.3003083111091312,0.11228723380995541,-0.17865659297304107,-0.03688616010288516,1.001865395854588,0.998138077368171
1.0,0.3043158442745915,0.11334054542260749,-0.18097952039279894,-0.03779103694304008,1.0018832913650806,0.9981202487542091
1.0,0.3083234483615216,0.11438317173171561,-0.1832991270954951,-0.03870433933927251,1.0019010217325175,0.998102585294074
1.0,0.31233112271346075,0.11541517505659965,-0.18561538632740804,-0.03962598196338105,1.001918587984786,0.9980850859463093
1.0,0.3163388666780153,0.1164366175162692,-0.1879282716576371,-0.04055587991034185,1.0019359911386423,0.9980677496808532
1.0,0.3203466796068587,0.11744756097608636,-0.1902377570608965,-0.04149394881263026,1.001953232210843,0.9980505754679455
1.0,0.3243545608557313,0.11844806707955524,-0.19254381686325814,-0.042440104769757694,1.0019703122181454,0.9980335622781242
1.0,0.3283625097844405,0.11943819725041468,-0.19484642573659547,-0.04339426434266346,1.0019872321773056,0.9980167090822232
1.0,0.3323705257568608,0.12041801265740114,-0.1971455587502095,-0.04435634462718018,1.0020039931050808,0.9980000148513674
1.0,0.33637860814093373,0.12138757426900174,-0.19944119128306087,-0.045326263135923216,1.0020205960182276,0.9979834785569709
1.0,0.3403867563086617,0.12234694279940685,-0.20173329910432025,-0.046303937911592125,1.0020370419319946,0.9979670991722351
1.0,0.34439496963600424,0.12329617874215058,-0.20402185831854142,-0.047289287452776656,1.00205333183563,0.9979508756965375
1.0,0.348403247502791,0.12423534237007557,-0.20630684536358546,-0.04828223071304883,1.0020694666966838,0.9979348071511391
1.0,0.35241158929271926,0.12516449370194388,-0.20858823705743487,-0.049282687170209144,1.0020854474820609,0.9979188925582135
1.0,0.3564199943933539,0.12608369255648044,-0.21086601051506088,-0.05029057671184625,1.002101275158666,0.9979031309402003
1.0,0.36042846219612756,0.12699299849773724,-0.21314014322664226,-0.05130581974795763,1.0021169506934042,0.9978875213198026
1.0,0.3644369920963403,0.12789247087050215,-0.21541061300238987,-0.05232833713558786,1.0021324750531806,0.9978720627199837
1.0,0.36844558349315987,0.12878216879813903,-0.2176773979736745,-0.05335805018228908,1.0021478492048996,0.9978567541639652
1.0,0.37245423578962145,0.12966215115111515,-0.2199404766352559,-0.0543948807093439,1.0021630741153902,0.9978415946752982
1.0,0.3764629483925719,0.13053247660021408,-0.22219982776668254,-0.05543875094026677,1.0021781507376066,0.9978265832915999
1.0,0.3804717207125524,0.13139320356143405,-0.22445543050810285,-0.05648958361153454,1.002193079995137,0.9978117190799723
1.0,0.38448055216378396,0.13224439023307658,-0.22670726430494956,-0.05754730189645458,1.0022078628078808,0.9977970011114311
1.0,0.3884894421641669,0.133086094591474,-0.22895530891200377,-0.05861182941309197,1.0022225000957363,0.9977824284572298
1.0,0.3924983901352813,0.13391837436149248,-0.23119954443126448,-0.05968309028246798,1.002236992778603,0.9977680001888564
1.0,0.39650739550238684,0.13474128706880062,-0.23343995123777092,-0.060761009021633686,1.00225134177638,0.997753715378031
1.0,0.4005164576944227,0.13555488998442292,-0.23567651005294327,-0.061845510654209464,1.0022655480089662,0.997739573096704
1.0,0.40452557614400775,0.13635924016341555,-0.23790920188932163,-0.06293652063107957,1.0022796123962607,0.9977255724170517
1.0,0.40853475028742076,0.13715439443850166,-0.24013800805730773,-0.06403396484190034,1.0022935358532548,0.9977117124163609
1.0,0.41254397956448463,0.1379404093926006,-0.24236291019889944,-0.06513776966675888,1.0023073192659684,0.9976979922009767
1.0,0.41655326341852444,0.13871734141004308,-0.24458389021782004,-0.06624786187418516,1.0023209635099537,0.9976844108878796
1.0,0.42056260129636747,0.13948524662090228,-0.2468009303503366,-0.06736416873101977,1.0023344694607539,0.9976709675942704
1.0,0.4245719926483431,0.14024418094115812,-0.2490140131102355,-0.06848661792148798,1.002347837993912,0.9976576614375596
1.0,0.428581436928283,0.14099420006426938,-0.25122312129799335,-0.06961513756292322,1.0023610699849712,0.9976444915353639
1.0,0.4325909335935209,0.1417353594357699,-0.25342823803059805,-0.0707496562541508,1.0023741663094747,0.9976314570055054
1.0,0.4366004821048928,0.1424677143033297,-0.25562934667586446,-0.07189010297636403,1.0023871278429655,0.9976185569660074
1.0,0.44061008192673273,0.14319131966098284,-0.25782643092068946,-0.07303640720078763,1.0023999554599925,0.9976057905360828
1.0,0.4446197325267902,0.14390623029067906,-0.2600194747164338,-0.0741884988048971,1.0024126500143722,0.9975931568557743
1.0,0.4486294333761522,0.14461250075182888,-0.2622084622902829,-0.07534630809183511,1.0024252123404984,0.9975806550846462
1.0,0.4526391839492403,0.14531018535799917,-0.26439337817137337,-0.07650976583534022,1.0024376432720337,0.9975682843831791
1.0,0.45664898372381085,0.14599933822572547,-0.2665742071291697,-0.07767880318464335,1.0024499436426402,0.9975560439120404
1.0,0.46065883218095477,0.1466800132187551,-0.2687509342391272,-0.07885335177055124,1.00246211428598,0.9975439328320815
1.0,0.46466872880509763,0.1473522639908814,-0.27092354482863484,-0.08003334362196922,1.0024741560357158,0.9975319503043352
1.0,0.4686786730839997,0.14801614397350446,-0.2730920244903388,-0.08121871118885722,1.0024860697255096,0.9975200954900149
1.0,0.47268866450875563,0.148671706354451,-0.2752563591047883,-0.0824093873811773,1.002497856188992,0.9975083675505426
1.0,0.47669870257375246,0.14931900412544918,-0.27741653478274597,-0.08360530547685806,1.0025095162492097,0.997496765658047
1.0,0.4807087867765679,0.14995809002650382,-0.27957253792823705,-0.08480639922476162,1.0025210507038702,0.9974852890100411
1.0,0.48471891661795596,0.15058901658990517,-0.28172435518519884,-0.08601260276197435,1.0025324603470096,0.9974739368078586
1.0,0.48872909160184663,0.1512118361258555,-0.2838719734525475,-0.08722385064038372,1.0025437459726647,0.9974627082529982
1.0,0.49273931123534614,0.1518266007034291,-0.2860153799035545,-0.08844007786107429,1.002554908374872,0.997451602547123
1.0,0.4967495750287368,0.15243336219662787,-0.2881545619319593,-0.08966121978719083,1.0025659483476679,0.9974406188920572
1.0,0.5007598824954771,0.1530321722290037,-0.29028950721239305,-0.09088721224626378,1.0025768666850894,0.9974297564897846
1.0,0.5047702331522018,0.15362308221873086,-0.29242020364786864,-0.09211799144507196,1.0025876641811726,0.997419014542448
1.0,0.5087806265187074,0.15420614336235489,-0.29454663938638076,-0.09335349399871883,1.0025983416264,0.997408392255881
1.0,0.5127910621178562,0.15478140661790094,-0.2966688028372195,-0.0945936569586401,1.002608899787202,0.9973978888599974
1.0,0.5168015394755368,0.15534892274943501,-0.2987866826207527,-0.09583841773070301,1.0026193394201397,0.9973875035946798
1.0,0.5208120581206638,0.15590874227204563,-0.300900267626221,-0.09708771417633405,1.0026296612817485,0.9973772356999825
1.0,0.524822617585178,0.15646091549786773,-0.30300954696018945,-0.09834148452687527,1.0026398661285643,0.997367084416105
1.0,0.5288332174040465,0.1570054925180154,-0.3051145099644822,-0.09959966741591952,1.002649954717123,0.9973570489833905
1.0,0.5328438571152624,0.15754252318783984,-0.3072151462296358,-0.10086220190496509,1.0026599278039603,0.9973471286423243
1.0,0.5368545362598448,0.15807205716992703,-0.30931144554821416,-0.10212902740433699,1.002669786145612,0.9973373226335313
1.0,0.5408652543818366,0.1585941438795487,-0.31140339796998223,-0.10340008377113864,1.002679530497965,0.9973276301984202
1.0,0.5448760110282378,0.1591088325315237,-0.3134909937514283,-0.10467531122163622,1.002689161600298,0.9973180505950557
1.0,0.5488868057489356,0.1596161721204016,-0.3155742233748452,-0.10595465036613076,1.0026986801744417,0.9973085830989902
1.0,0.5528976380967012,0.16011621140786425,-0.31765307755911837,-0.10723804223210377,1.0027080869414158,0.9972992269867132
1.0,0.5569085076271901,0.16060899896409717,-0.3197275472164387,-0.10852542818924052,1.0027173826222382,0.9972899815348449
1.0,0.5609194138989418,0.161094583113817,-0.32179762350486674,-0.10981675004511035,1.002726567937928,0.9972808460201318
1.0,0.5649303564733799,0.16157301198385526,-0.3238632977790262,-0.11111194995912257,1.002735643609504,0.997271819719446
1.0,0.5689413349148118,0.16204433348166453,-0.3259245616101511,-0.11241097048012477,1.002744610357985,0.9972629019097843
1.0,0.5729523487904293,0.16250859528485054,-0.32798140679440135,-0.11371375456383917,1.0027534689043784,0.9972540918682765
1.0,0.5769633976702757,0.1629658448808613,-0.33003382531283504,-0.11502024550087955,1.0027622199615969,0.9972453888802246
1.0,0.5809744811271581,0.16341612951369525,-0.33208180938138404,-0.11633038700832246,1.0027708642205995,0.9972367922528811
1.0,0.5849855987366329,0.1638594962320907,-0.33412535140280736,-0.1176441231457653,1.0027794023686982,0.9972283012972415
1.0,0.5889967500770057,0.16429599186643168,-0.33616444398753553,-0.11896139835566837,1.0027878350932058,0.9972199153244149
1.0,0.5930079347293314,0.16472566302039077,-0.3381990799596981,-0.120282157476892,1.0027961630814346,0.997211633645623
1.0,0.5970191522774142,0.16514855610888607,-0.3402292523202194,-0.12160634567761754,1.0028043870206966,0.9972034555721995
1.0,0.6010304023078075,0.16556471730557035,-0.34225495429423075,-0.12293390854602654,1.002812507598305,0.9971953804155865
1.0,0.6050416844098138,0.1659741925915108,-0.3442761792843641,-0.12426479200464216,1.0028205255015714,0.997187407487336
1.0,0.6090529981754746,0.166377027730574,-0.34629292089223285,-0.12559894235207952,1.002828441415233,0.9971795361016671
1.0,0.6130643431994905,0.16677326826315406,-0.3483051729223519,-0.12693630627060074,1.002836256003984,0.9971717655928339
1.0,0.6170757190791833,0.1671629595423538,-0.3503129293482181,-0.12827683076421864,1.0028439699232061,0.997164095304453
1.0,0.6210871254144963,0.16754614668235207,-0.3523161843571939,-0.12962046324786464,1.002851583828234,0.9971565245802889
1.0,0.625098561807994,0.1679228746074575,-0.3543149323052095,-0.13096715146220633,1.0028590983744026,0.9971490527642048
1.0,0.6291100278648621,0.1682931880260561,-0.3563091677387297,-0.13231684351766498,1.002866514217047,0.9971416792001626
1.0,0.6331215231929082,0.16865713142639405,-0.35829888539674065,-0.13366948790059124,1.0028738320115023,0.997134403232221
1.0,0.6371330474025606,0.16901474911094466,-0.3602840801796784,-0.13502503341403319,1.002881052413103,0.9971272242045347
1.0,0.6411446001068677,0.16936608514574736,-0.36226474719182167,-0.13638342926297967,1.002888176076768,0.9971201414617665
1.0,0.645156180921444,0.16971118340971997,-0.36424088169746366,-0.13774462496804105,1.0028952036440664,0.9971131543619448
1.0,0.6491677894644075,0.17005008756725581,-0.3662124791432241,-0.1391085704108014,1.0029021357408532,0.9971062622788122
1.0,0.6531794253563759,0.17038284106602433,-0.36817953515826835,-0.14047521583850775,1.0029089729920957,0.9970994645870831
1.0,0.6571910882204669,0.1707094871694911,-0.37014204552595037,-0.14184451180881322,1.0029157160227609,0.9970927606615603
1.0,0.6612027776822982,0.17103006890731925,-0.3721000062237577,-0.14321640927226612,1.002922365457816,0.9970861498771322
1.0,0.6652144933699871,0.171344629124825,-0.37405341338100345,-0.14459085948858608,1.0029289219222284,0.9970796316087737
1.0,0.6692262349141509,0.1716532104543135,-0.3760022633013524,-0.1459678140739983,1.0029353860409644,0.9970732052315436
1.0,0.6732380019479068,0.17195585531485535,-0.3779465524614343,-0.14734722500065,1.0029417584389895,0.9970668701205859
1.0,0.6772497941068472,0.1722526059429338,-0.37988627748506515,-0.14872904454411695,1.002948039735067,0.9970606256572916
1.0,0.6812616110289627,0.17254350434399385,-0.38182143518079403,-0.15011322536104318,1.002954230528886,0.9970544712420942
1.0,0.6852734523546288,0.1728285923419278,-0.3837520225011579,-0.15149972040859885,1.0029603314165174,0.9970484062791034
1.0,0.689285317726605,0.17310791154924093,-0.3856780365652987,-0.15288848299371952,1.0029663429940308,0.9970424301725064
1.0,0.6932972067900349,0.1733815033687581,-0.3875994746561258,-0.15427946676937276,1.0029722658574962,0.9970365423265667
1.0,0.6973091191924469,0.17364940902237652,-0.38951633419698234,-0.15567262568672713,1.0029781006029843,0.9970307421456223
1.0,0.7013210545837532,0.17391166950384462,-0.39142861278684743,-0.15706791407181844,1.0029838478265651,0.9970250290340856
1.0,0.7053330126162504,0.17416832562816545,-0.3933363081611875,-0.15846528654393818,1.0029895081243088,0.9970194023964424
1.0,0.7093449929446121,0.17441941800068558,-0.3952394182145513,-0.1598646980652455,1.0029950820904214,0.9970138616391028
1.0,0.7133569952258215,0.17466498702068056,-0.39713794099642913,-0.16126610393163465,1.00300057030236,0.9970084061851975
1.0,0.7173690191191368,0.1749050729081989,-0.39903187469023305,-0.16266945972975358,1.0030059733287964,0.9970030354666582
1.0,0.7213810642860901,0.17513971565814612,-0.40092121764621214,-0.16407472141204263,1.003011291738329,0.996997748915558
1.0,0.7253931303904882,0.1753689550894978,-0.40280596834392685,-0.16548184521641054,1.0030165260995565,0.9969925459640362
1.0,0.7294052170984126,0.17559283081340535,-0.4046861254147159,-0.1668907877171629,1.0030216769810776,0.9969874260442981
1.0,0.7334173240782185,0.1758113822386051,-0.4065616876363952,-0.16830150581543907,1.003026744951491,0.9969823885886141
1.0,0.737429451000536,0.17602464859634634,-0.4084326539144204,-0.1697139566986563,1.0030317305793948,0.9969774330293185
