Tw , Ro  , Mr , N_common, N_cheb, Hinf_i             , Fp0_i             , Gp0_i             , Tp0_i                 , H_c_at_zmax        , F_c_at_zmax           , G_c_at_zmax        , T_c_at_zmax       , maxabs_dF_common     , maxabs_dG_raw_common, maxabs_dG_signmatched_common, maxabs_dH_common     , maxabs_dT_common    , maxabs_dF_cheb       , maxabs_dG_raw_cheb, maxabs_dG_signmatched_cheb, maxabs_dH_cheb      , maxabs_dT_cheb       , max_rel_velocity_diff, rel_rho_wall_change, rho_linearization_rel_error_wall
1.0, -1.0, 0.3,     2001,    199, -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22, -0.8844740937664585, 1.9446505890087413e-08, -0.9999999747218719, 1.0000000311567605, 0.0020112116581934604,   1.999999974721872 ,        0.0025416423923678155, 0.0014242426161441557, 0.003208250119788314, 0.0019878359416552636, 1.999999974721872 ,       0.002539456394410722, 0.001424327619105492, 0.0032082387865464135, 0.0025416424566157792, 0.0                ,             0.0
1.1, -1.0, 0.3,     2001,    199, -1.0898391861964227, 0.5722185058333301, 0.6593665979041935, -0.03603643266553303  , -0.8844745811747737, 2.334425985429802e-08 , -0.9999999696552587, 1.0000005921930422, 0.029519789789896833 ,   1.9999999696552586,        0.06956633315094263  , 0.205364605021649    , 0.010641801838678688, 0.02950587856670739  , 1.9999999696552586,       0.06954211947850464 , 0.205364605021649   , 0.010640775064284513 , 0.20536461125338498  , 0.09090909090909094,             0.010000000000000064
1.2, -1.0, 0.3,     2001,    199, -1.2138285203858057, 0.6330608555723366, 0.6943776280181541, -0.07677458248028697  , -0.8844752057865798, 2.802332467830235e-08 , -0.9999999635730346, 1.0000013103512064, 0.05780942332066022  ,   1.9999999635730346,        0.1254597367383582   , 0.3293533145992259   , 0.031057451657391155, 0.05780570617236103  , 1.9999999635730346,       0.12544168035756964 , 0.3293533145992259  , 0.031051417668980452 , 0.32935332659656813  , 0.16666666666666663,             0.03999999999999999
1.3, -1.0, 0.3,     2001,    199, -1.307120954962315 , 0.6924203771221734, 0.7243967576778951, -0.12098159737736784  , -0.884475996511813 , 3.3640195994283936e-08, -0.9999999562717742, 1.0000022187173778, 0.08502909098421496  ,   1.999999956271774 ,        0.17432387268902483  , 0.4226449584505021   , 0.061236995884015544, 0.08502662720500048  , 1.999999956271774 ,       0.17430036946814365 , 0.4226449584505021  , 0.061229761494300705 , 0.4226449769320171   , 0.23076923076923084,             0.08999999999999998
1.4, -1.0, 0.3,     2001,    199, -1.3833511325521377, 0.7503449444156783, 0.7509218472155534, -0.1680115773876774   , -0.8844769876707655, 4.0382840899355245e-08, -0.9999999475071427, 1.0000033565751796, 0.11116746832346713  ,   1.9999999475071428,        0.21792627129639508  , 0.49887414488137216  , 0.09954613333735418 , 0.11115814500641272  , 1.9999999475071428,       0.21787892995118796 , 0.49887414488137216 , 0.09954485095952892  , 0.4988741710687028   , 0.2857142857142857 ,             0.1599999999999999
1.5, -1.0, 0.3,     2001,    199, -1.4484776288923742, 0.8069447911259562, 0.7748132343017976, -0.21744737902508343  , -0.8844782199480263, 4.8477024870781434e-08, -0.999999936985672 , 1.0000047705004502, 0.13625166782325787  ,   1.999999936985672 ,        0.25727728009141804  , 0.5639994089443479   , 0.14481632120494226 , 0.13623318242784246  , 1.999999936985672 ,       0.2571762261063673  , 0.5639994089443479  , 0.14481420859250926  , 0.5639994444843939   , 0.33333333333333337,             0.24999999999999994
1.6, -1.0, 0.3,     2001,    199, -1.5057062466649944, 0.8623349194690157, 0.7966277243371138, -0.2689924223614442   , -0.8844797414842659, 5.819345326305343e-08 , -0.9999999243554774, 1.0000065156138955, 0.16032819506026452  ,   1.9999999243554774,        0.29305877153459603  , 0.6212265051807285   , 0.1961119619890377  , 0.16029889239839676  , 1.9999999243554774,       0.29295940073635013 , 0.6212265051807285  , 0.1960892679799251   , 0.6212265521731145   , 0.375              ,             0.36000000000000015
1.7, -1.0, 0.3,     2001,    199, -1.5569836416436018, 0.9166211814641294, 0.816752219432989 , -0.32242313767145864  , -0.8844816091897872, 6.98573629350481e-08  , -0.9999999091937892, 1.000008657090738 , 0.18345424805291455  ,   1.9999999091937892,        0.32577120524768366  , 0.6725020324538146   , 0.252651166344219   , 0.18340907746998494  , 1.9999999091937892,       0.3257254470016442  , 0.6725020324538146  , 0.25257115991004686  , 0.6725020935211814   , 0.4117647058823529 ,             0.48999999999999994
1.8, -1.0, 0.3,     2001,    199, -1.6035906455452607, 0.9698974666774391, 0.8354689539378094, -0.3775640637617939   , -0.8844838902447278, 8.38591332196808e-08  , -0.9999998909931611, 1.0000112718840042, 0.2056825399861545   ,   1.999999890993161 ,        0.35580591936587036  , 0.7191067553005328   , 0.3137684982495721  , 0.20561969581559725  , 1.999999890993161 ,       0.355794542316444   , 0.7191067553005328  , 0.3136931255024633   , 0.7191068336880956   , 0.4444444444444444 ,             0.6400000000000001
1.9, -1.0, 0.3,     2001,    199, -1.6464198260721021, 1.022246114477879 , 0.8529913465714121, -0.43427333517213124  , -0.8844866638411608, 1.0066708369104672e-07, -0.9999998691448329, 1.0000144507269026, 0.2270633139322402   ,   1.9999998691448329,        0.3834803266721509   , 0.7619331622309413   , 0.37889823181369353 , 0.22698665264474202  , 1.9999998691448329,       0.3834753447264741  , 0.7619331622309413  , 0.3788708851797935   , 0.7619332619338457   , 0.4736842105263158 ,             0.8099999999999998
2.0, -1.0, 0.3,     2001,    199, -1.6861206947796077, 1.0737392096098712, 0.8694853541493373, -0.49243357661725257  , -0.884490023280783 , 1.208439271205051e-07 , -0.9999998429173446, 1.0000183005465868, 0.24765122015592123  ,   1.9999998429173445,        0.40905857156310266  , 0.8016306714988247   , 0.4475454542199391  , 0.24756201903352598  , 1.9999998429173445,       0.409027455844295   , 0.8016306714988247  , 0.4475448109738114   , 0.8016307974211191   , 0.5                ,             1.0
