Tw	mode	reference_case	R_c_blackburn	beta_c_blackburn	R_c_reference	beta_c_reference	delta_R_blackburn_minus_reference	R_error_vs_reference_percent	PPT_R_difference_reference_vs_blackburn_percent	delta_beta_blackburn_minus_reference	beta_error_vs_reference_percent	PPT_beta_difference_reference_vs_blackburn_percent
1.04	Type-I	perturbations_frozen	282.24615352046675	0.07498794683238268	281.8628273553826	0.07369963491439245	0.3833261650841564	0.13599741714108518	-0.13581271535605177	0.0012883119179902258	1.7480573947031013	-1.718025325949961
1.04	Type-I	all_properties_frozen	282.24615352046675	0.07498794683238268	276.4925050428754	0.07393916329849305	5.753648477591355	2.0809419324763043	-2.0385214841109023	0.0010487835338896245	1.4184411712311056	-1.3986028131079853
1.04	Type-II	perturbations_frozen	442.98974787918	0.045271819895492525	445.06321275040773	0.04461245198468236	-2.0734648712277135	-0.4658809831560975	0.46806159310784445	0.0006593679108101644	1.4779907435631596	-1.456464335501154
1.04	Type-II	all_properties_frozen	442.98974787918	0.045271819895492525	430.29166272957843	0.044852787876508544	12.698085149601582	2.95104140969188	-2.8664512464213567	0.0004190320189839808	0.9342385140867621	-0.9255912838301903
1.08	Type-I	perturbations_frozen	277.9887641832347	0.0725592833557121	277.4642090164285	0.07065575749602807	0.5245551668061808	0.18905327237183303	-0.18869653539681308	0.0019035258596840354	2.694084568820938	-2.623407745570276
1.08	Type-I	all_properties_frozen	277.9887641832347	0.0725592833557121	267.6712663759424	0.07108392320890879	10.317497807292284	3.8545406636218584	-3.711480151942963	0.0014753601468033145	2.0755187392617223	-2.0333168666655106
1.08	Type-II	perturbations_frozen	433.01890208368206	0.044164632053403347	436.50757569763306	0.043241277231788854	-3.4886736139509935	-0.799224070367013	0.8056631239799315	0.000923354821614493	2.1353551067998704	-2.0907110026366422
1.08	Type-II	all_properties_frozen	433.01890208368206	0.044164632053403347	410.0343931517796	0.043685755814346604	22.98450893190244	5.60550756614078	-5.307968964241801	0.00047887623905674276	1.0961839394329023	-1.084298038479504
1.12	Type-I	perturbations_frozen	273.2905023537055	0.07018870241125337	273.4652290834672	0.06782973382023023	-0.17472672976168724	-0.06389358177172758	0.06393443177017094	0.002358968591023136	3.477779519635345	-3.360895001593479
1.12	Type-I	all_properties_frozen	273.2905023537055	0.07018870241125337	259.6834541429245	0.0684324015913677	13.607048210780988	5.2398595265495596	-4.978968567729479	0.0017563008198856755	2.566475498511836	-2.5022557185842595
1.12	Type-II	perturbations_frozen	421.29654943957604	0.04314149297304503	428.6001028900751	0.041941122412964355	-7.3035534504990665	-1.7040484594499128	1.7335896674716464	0.0012003705600806755	2.8620372823156273	-2.782403846873523
1.12	Type-II	all_properties_frozen	421.29654943957604	0.04314149297304503	391.6399130645202	0.04259716500440864	29.656636375055825	7.57242440970772	-7.039373195556943	0.0005443279686363905	1.2778502244927679	-1.2617272401223776
1.16	Type-I	perturbations_frozen	268.17285290125983	0.06787977778586407	269.82108820632027	0.06520637415614294	-1.6482353050604388	-0.6108622999104155	0.6146167619983938	0.0026734036297211272	4.0999114953384845	-3.9384389827479107
1.16	Type-I	all_properties_frozen	268.17285290125983	0.06787977778586407	252.42643213685102	0.06596456724689106	15.74642076440881	6.2380237406643735	-5.871743017257074	0.0019152105389730056	2.90339286514954	-2.8214743793281056
1.16	Type-II	perturbations_frozen	407.9216445644329	0.04219327265004532	421.20875556522435	0.0407364600942972	-13.28711100079147	-3.1545191844270564	3.2572704042167384	0.001456812555748123	3.576188388426185	-3.4527128716254203
1.16	Type-II	all_properties_frozen	407.9216445644329	0.04219327265004532	374.823948999868	0.041584566123083144	33.0976955645649	8.830197657561246	-8.113738509734064	0.0006087065269621758	1.4637799157516984	-1.442662511654028
1.2	Type-I	perturbations_frozen	262.6651722500755	0.06563476899045288	266.48979410961704	0.06275703925346869	-3.824621859541537	-1.4351851155576825	1.4560825962492778	0.0028777297369841914	4.585509085859455	-4.384459306016269
1.2	Type-I	all_properties_frozen	262.6651722500755	0.06563476899045288	245.81339109573764	0.06366321108743653	16.851781154337857	6.855517951735407	-6.415689225175917	0.001971557903016355	3.0968558910868818	-3.0038315565689495
1.2	Type-II	perturbations_frozen	392.9425052058034	0.041310938541705686	414.34166665867195	0.03961204759922301	-21.399161452868555	-5.1646173133963	5.44587596642434	0.0016988909424826767	4.288823843875217	-4.112448185527308
1.2	Type-II	all_properties_frozen	392.9425052058034	0.041310938541705686	359.579277230386	0.040670695402045785	33.363227975417374	9.278406762590278	-8.490613138923061	0.0006402431396599004	1.5742124232960506	-1.5498150423610912
