branch,z,H,F,G,T
1.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.359033789577e-29,0.000000000000e+00,1.045000000015e+00
1.000000000000e+00,2.000000000000e-02,-1.906521244358e-04,9.469713843741e-03,1.179221653109e-02,1.044725633659e+00
1.000000000000e+00,4.000000000000e-02,-7.526072830179e-04,1.856668704040e-02,2.357693353106e-02,1.044451268178e+00
1.000000000000e+00,6.000000000000e-02,-1.671139321881e-03,2.730007389626e-02,3.534700077976e-02,1.044176905788e+00
1.000000000000e+00,8.000000000000e-02,-2.931885925500e-03,3.567891156984e-02,4.709563644905e-02,1.043902550113e+00
1.000000000000e+00,1.000000000000e-01,-4.520843878456e-03,4.371211749749e-02,5.881641356185e-02,1.043628206129e+00
1.000000000000e+00,1.200000000000e-01,-6.424364229006e-03,5.140848706395e-02,7.050324687682e-02,1.043353880107e+00
1.000000000000e+00,1.400000000000e-01,-8.629147364607e-03,5.877669150729e-02,8.215038018521e-02,1.043079579562e+00
1.000000000000e+00,1.600000000000e-01,-1.112223800766e-02,6.582527604880e-02,9.375237400550e-02,1.042805313194e+00
1.000000000000e+00,1.800000000000e-01,-1.389102014120e-02,7.256265823792e-02,1.053040936642e-01,1.042531090839e+00
1.000000000000e+00,2.000000000000e-01,-1.692321187234e-02,7.899712650301e-02,1.168006977501e-01,1.042256923418e+00
1.000000000000e+00,2.200000000000e-01,-2.020686024161e-02,8.513683889900e-02,1.282376269306e-01,1.041982822885e+00
1.000000000000e+00,2.400000000000e-01,-2.373033598637e-02,9.098982204277e-02,1.396105931192e-01,1.041708802176e+00
1.000000000000e+00,2.600000000000e-01,-2.748232826474e-02,9.656397022823e-02,1.509155689833e-01,1.041434875163e+00
1.000000000000e+00,2.800000000000e-01,-3.145183934798e-02,1.018670447123e-01,1.621487777830e-01,1.041161056605e+00
1.000000000000e+00,3.000000000000e-01,-3.562817928752e-02,1.069066731641e-01,1.733066835297e-01,1.040887362101e+00
1.000000000000e+00,3.200000000000e-01,-4.000096056283e-02,1.116903492697e-01,1.843859814572e-01,1.040613808042e+00
1.000000000000e+00,3.400000000000e-01,-4.456009271692e-02,1.162254324840e-01,1.953835887941e-01,1.040340411569e+00
1.000000000000e+00,3.600000000000e-01,-4.929577698427e-02,1.205191479239e-01,2.062966358316e-01,1.040067190525e+00
1.000000000000e+00,3.800000000000e-01,-5.419850091754e-02,1.245785863948e-01,2.171224572748e-01,1.039794163415e+00
1.000000000000e+00,4.000000000000e-01,-5.925903301773e-02,1.284107045428e-01,2.278585838736e-01,1.039521349358e+00
1.000000000000e+00,4.200000000000e-01,-6.446841737280e-02,1.320223251283e-01,2.385027343218e-01,1.039248768050e+00
1.000000000000e+00,4.400000000000e-01,-6.981796830975e-02,1.354201374124e-01,2.490528074194e-01,1.038976439718e+00
1.000000000000e+00,4.600000000000e-01,-7.529926506404e-02,1.386106976507e-01,2.595068744891e-01,1.038704385083e+00
1.000000000000e+00,4.800000000000e-01,-8.090414647101e-02,1.416004296892e-01,2.698631720416e-01,1.038432625318e+00
1.000000000000e+00,5.000000000000e-01,-8.662470568309e-02,1.443956256558e-01,2.801200946816e-01,1.038161182009e+00
1.000000000000e+00,5.200000000000e-01,-9.245328491621e-02,1.470024467414e-01,2.902761882481e-01,1.037890077119e+00
1.000000000000e+00,5.400000000000e-01,-9.838247022965e-02,1.494269240669e-01,3.003301431832e-01,1.037619332949e+00
1.000000000000e+00,5.600000000000e-01,-1.044050863417e-01,1.516749596292e-01,3.102807881227e-01,1.037348972100e+00
1.000000000000e+00,5.800000000000e-01,-1.105141914848e-01,1.537523273224e-01,3.201270837021e-01,1.037079017440e+00
1.000000000000e+00,6.000000000000e-01,-1.167030723036e-01,1.556646740285e-01,3.298681165729e-01,1.036809492068e+00
1.000000000000e+00,6.200000000000e-01,-1.229652387964e-01,1.574175207743e-01,3.395030936225e-01,1.036540419280e+00
1.000000000000e+00,6.400000000000e-01,-1.292944193060e-01,1.590162639477e-01,3.490313363928e-01,1.036271822536e+00
1.000000000000e+00,6.600000000000e-01,-1.356845555591e-01,1.604661765726e-01,3.584522756920e-01,1.036003725426e+00
1.000000000000e+00,6.800000000000e-01,-1.421297977580e-01,1.617724096347e-01,3.677654463934e-01,1.035736151641e+00
1.000000000000e+00,7.000000000000e-01,-1.486244997264e-01,1.629399934566e-01,3.769704824172e-01,1.035469124944e+00
1.000000000000e+00,7.200000000000e-01,-1.551632141114e-01,1.639738391176e-01,3.860671118892e-01,1.035202669133e+00
1.000000000000e+00,7.400000000000e-01,-1.617406876425e-01,1.648787399149e-01,3.950551524725e-01,1.034936808021e+00
1.000000000000e+00,7.600000000000e-01,-1.683518564507e-01,1.656593728610e-01,4.039345068657e-01,1.034671565403e+00
1.000000000000e+00,7.800000000000e-01,-1.749918414472e-01,1.663203002176e-01,4.127051584649e-01,1.034406965029e+00
1.000000000000e+00,8.000000000000e-01,-1.816559437644e-01,1.668659710589e-01,4.213671671831e-01,1.034143030579e+00
1.000000000000e+00,8.200000000000e-01,-1.883396402603e-01,1.673007228631e-01,4.299206654234e-01,1.033879785640e+00
1.000000000000e+00,8.400000000000e-01,-1.950385790876e-01,1.676287831290e-01,4.383658542021e-01,1.033617253676e+00
1.000000000000e+00,8.600000000000e-01,-2.017485753262e-01,1.678542710145e-01,4.467029994155e-01,1.033355458012e+00
1.000000000000e+00,8.800000000000e-01,-2.084656066834e-01,1.679811989955e-01,4.549324282478e-01,1.033094421803e+00
1.000000000000e+00,9.000000000000e-01,-2.151858092594e-01,1.680134745398e-01,4.630545257162e-01,1.032834168020e+00
1.000000000000e+00,9.200000000000e-01,-2.219054733813e-01,1.679549017972e-01,4.710697313475e-01,1.032574719424e+00
1.000000000000e+00,9.400000000000e-01,-2.286210395041e-01,1.678091832996e-01,4.789785359839e-01,1.032316098548e+00
1.000000000000e+00,9.600000000000e-01,-2.353290941804e-01,1.675799216726e-01,4.867814787130e-01,1.032058327681e+00
1.000000000000e+00,9.800000000000e-01,-2.420263660983e-01,1.672706213536e-01,4.944791439191e-01,1.031801428843e+00
1.000000000000e+00,1.000000000000e+00,-2.487097221880e-01,1.668846903153e-01,5.020721584518e-01,1.031545423774e+00
1.000000000000e+00,1.020000000000e+00,-2.553761637984e-01,1.664254417934e-01,5.095611889076e-01,1.031290333914e+00
1.000000000000e+00,1.040000000000e+00,-2.620228229419e-01,1.658960960148e-01,5.169469390222e-01,1.031036180390e+00
1.000000000000e+00,1.060000000000e+00,-2.686469586085e-01,1.652997819268e-01,5.242301471698e-01,1.030782983999e+00
1.000000000000e+00,1.080000000000e+00,-2.752459531496e-01,1.646395389238e-01,5.314115839643e-01,1.030530765194e+00
1.000000000000e+00,1.100000000000e+00,-2.818173087295e-01,1.639183185710e-01,5.384920499623e-01,1.030279544074e+00
1.000000000000e+00,1.120000000000e+00,-2.883586438475e-01,1.631389863223e-01,5.454723734617e-01,1.030029340369e+00
1.000000000000e+00,1.140000000000e+00,-2.948676899274e-01,1.623043232331e-01,5.523534083946e-01,1.029780173430e+00
1.000000000000e+00,1.160000000000e+00,-3.013422879757e-01,1.614170276641e-01,5.591360323106e-01,1.029532062215e+00
1.000000000000e+00,1.180000000000e+00,-3.077803853076e-01,1.604797169772e-01,5.658211444480e-01,1.029285025285e+00
1.000000000000e+00,1.200000000000e+00,-3.141800323409e-01,1.594949292207e-01,5.724096638897e-01,1.029039080789e+00
1.000000000000e+00,1.220000000000e+00,-3.205393794569e-01,1.584651248029e-01,5.789025278007e-01,1.028794246460e+00
1.000000000000e+00,1.240000000000e+00,-3.268566739283e-01,1.573926881537e-01,5.853006897457e-01,1.028550539604e+00
1.000000000000e+00,1.260000000000e+00,-3.331302569130e-01,1.562799293725e-01,5.916051180820e-01,1.028307977096e+00
1.000000000000e+00,1.280000000000e+00,-3.393585605134e-01,1.551290858627e-01,5.978167944274e-01,1.028066575370e+00
1.000000000000e+00,1.300000000000e+00,-3.455401049009e-01,1.539423239496e-01,6.039367121985e-01,1.027826350417e+00
1.000000000000e+00,1.320000000000e+00,-3.516734955055e-01,1.527217404833e-01,6.099658752185e-01,1.027587317779e+00
1.000000000000e+00,1.340000000000e+00,-3.577574202678e-01,1.514693644247e-01,6.159052963908e-01,1.027349492542e+00
1.000000000000e+00,1.360000000000e+00,-3.637906469555e-01,1.501871584133e-01,6.217559964374e-01,1.027112889338e+00
1.000000000000e+00,1.380000000000e+00,-3.697720205412e-01,1.488770203187e-01,6.275190026982e-01,1.026877522336e+00
