model,Tw,Hinf,Fmax,z_Fmax,Fp0,Gp0,Tp0,thermal_thickness,rho_wall_linear,nodes
traditional,1.0,-0.8844741102063879,0.18076517358489835,0.92,0.5102326188674909,0.6159220143990257,3.941829408137986e-31,nan,1.0,1579
traditional,1.01,-0.8513350945896107,0.17790828899437544,0.92,0.5040425691340003,0.610764325195029,-0.003244139768704367,2.102190917204157,0.99,1120
traditional,1.02,-0.8121947711980783,0.1750446123847806,0.91,0.49788440116625765,0.6053480453479434,-0.006397583066381923,2.1468596959929047,0.98,1120
traditional,1.03,-0.7631580489814067,0.17219061452680975,0.91,0.491786018958823,0.5995832034152281,-0.009443714687241308,2.2019557804511276,0.97,1119
traditional,1.04,-0.6929749919851727,0.16937475663334725,0.9,0.4858195836360875,0.593247961915881,-0.012347343667981847,2.2779692905024165,0.96,1118
traditional,1.045,-0.634709788470297,0.16801537301425348,0.9,0.48297283301691585,0.5896075898455335,-0.013710749559879954,2.3372035454993467,0.9550000000000001,1118
traditional,1.048,-0.5421137324443562,0.1673186226750233,0.89,0.48156076691548805,0.5865347755071889,-0.014415649983982254,2.420519545087386,0.952,1477
lopez,1.0,-0.8844741102063879,0.18076517358489835,0.92,0.5102326188674909,0.6159220143990257,0.0,nan,1.0,1579
lopez,1.01,-0.885187396005644,0.18057448488082867,0.93,0.5075809187981052,0.6135220586290132,-0.0032846680553134766,2.063940240394476,0.99,1121
lopez,1.02,-0.8858945916072942,0.18038060211743256,0.93,0.5049174955438117,0.611117359570151,-0.006567132739352456,2.0637847950023307,0.98,1119
lopez,1.03,-0.8865955965603616,0.18018169608265094,0.93,0.502242228130675,0.6087078982415192,-0.009847285421265603,2.0636504781080136,0.97,1117
lopez,1.04,-0.8872903086924282,0.1799827767944664,0.9400000000000001,0.4995549936538014,0.6062936555474371,-0.013125015465325568,2.063537576118916,0.96,1114
lopez,1.045,-0.8876352725344824,0.17988249448421204,0.9400000000000001,0.4982068498203848,0.6050847351885243,-0.014762936864195835,2.0634892470603097,0.9550000000000001,1113
lopez,1.048,-0.8878414777678624,0.179821703488729,0.9400000000000001,0.49739650593582174,0.6043588059009949,-0.015745379544036837,2.0634628700385984,0.952,1114
lopez,1.05,-0.8879786240447866,0.17978091588523987,0.9400000000000001,0.4968556672351371,0.6038746122733174,-0.016400210181662836,2.0634463822073035,0.95,1113
lopez,1.075,-0.8896707276473951,0.17926229314551334,0.9500000000000001,0.4900536110847322,0.5978058743454532,-0.02457634624941014,2.0633153576971286,0.925,1108
lopez,1.1,-0.8913204798645462,0.1787255772742336,0.96,0.48317314126587096,0.5917067059891691,-0.0327340593600815,2.0633267950511702,0.8999999999999999,1104
lopez,1.15,-0.8944857143001343,0.1775962450444351,0.98,0.46916836598812217,0.5794158293223929,-0.0489863467455356,2.063798159943269,0.8500000000000001,1092
lopez,1.2,-0.8974590313377613,0.1763890855815548,1.0,0.45482320777467916,0.5669994273243945,-0.06514033635503526,2.06490613113305,0.8,1079
lopez,1.3,-0.9027609179799073,0.17372072418605206,1.04,0.42503072251069896,0.5417792989454451,-0.09707746386859407,2.069246567179579,0.7,1073
lopez,1.4,-0.9070691144811955,0.1706674942136727,1.09,0.39361314233677835,0.51602348020678,-0.12837150425324229,2.076859274141421,0.6000000000000001,1064
lopez,1.5,-0.910188820378813,0.1671805685388415,1.1400000000000001,0.3603475691589824,0.4897062719618645,-0.15880469382345047,2.0884261396920105,0.5,1026
lopez,1.6,-0.9118730133008885,0.16319097664654697,1.2,0.3249558913845645,0.4627975044269538,-0.18809842530940088,2.104882357108543,0.3999999999999999,1027
lopez,1.7,-0.9117996327850454,0.1586315223218973,1.28,0.28708138779138437,0.4352595186678906,-0.21588626830552304,2.12755552147974,0.30000000000000004,1030
lopez,1.8,-0.9095332844358612,0.15341516278417958,1.37,0.2462495562867313,0.4070412059780258,-0.2416685474635873,2.1584151877233,0.19999999999999996,1033
