model,Tw,z,H,F,G,T,Fp,Gp,Tp
lopez,1.0,0.0,-8.15988876532644e-28,0.0,0.0,1.0,0.5102326188674909,0.6159220143990257,0.0
lopez,1.0,0.02,-0.00020144276471399729,0.010006289751144733,0.012317097060389122,1.0,0.49047796936328675,0.6157213934212611,0.0
lopez,1.0,0.04,-0.0007953003439989204,0.01962236264882889,0.024626271830795042,1.0,0.4712098960298465,0.6151331611157312,0.0
lopez,1.0,0.06,-0.0017661578591068403,0.028857887483281452,0.03691997211059288,1.0,0.45242210182216513,0.6141771950326326,0.0
lopez,1.0,0.08,-0.003098984645786254,0.037722405725363,0.04919103582784906,1.0,0.43410815407443576,0.6128726345107472,0.0
lopez,1.0,0.1,-0.004779129109013992,0.04622532894543678,0.061432676514919564,1.0,0.41626149753783115,0.6112379045206151,0.0
lopez,1.0,0.12,-0.006792313478157742,0.05437593648809434,0.07363846925122854,1.0,0.39887546687891495,0.6092907386908936,0.0
lopez,1.0,0.14,-0.009124628478431526,0.06218337339000203,0.08580233706292652,1.0,0.3819432986511037,0.6070482015496516,0.0
lopez,1.0,0.16,-0.011762527919613344,0.06965664853351428,0.09791853775589654,1.0,0.36545814275589034,0.6045267100350332,0.0
lopez,1.0,0.18,-0.014692823215190094,0.07680463302467648,0.10998165117183144,1.0,0.3494130734064696,0.6017420543035731,0.0
lopez,1.0,0.2,-0.017902677842513065,0.0836360587850688,0.12198656685520709,1.0,0.33380109960757565,0.5987094178663732,0.0
lopez,1.0,0.22,-0.021379601751595017,0.09015951734816596,0.13392847211721529,1.0,0.3186151751659057,0.5954433970854641,0.0
lopez,1.0,0.24,-0.025111445731290438,0.09638345885059715,0.1458028404846624,1.0,0.3038482082450549,0.5919580200578243,0.0
lopez,1.0,0.26,-0.029086395733794117,0.1023161912122064,0.1576054205164534,1.0,0.2894930704793152,0.5882667649244325,0.0
lopez,1.0,0.28,-0.033292967171740906,0.10796587949338471,0.16933222498225278,1.0,0.27554260565871935,0.5843825776170749,0.0
lopez,1.0,0.3,-0.03771999919387831,0.11334054542157039,0.18097952039140047,1.0,0.2619896379989611,0.5803178890676127,0.0
lopez,1.0,0.32,-0.04235664894581867,0.11844806707874138,0.19254381686137598,1.0,0.2488269800094282,0.5760846319013103,0.0
lopez,1.0,0.34,-0.04719238582282598,0.12329617874163165,0.20402185831610667,1.0,0.2360474399723231,0.571694256633184,0.0
lopez,1.0,0.36,-0.05221698571448997,0.1278924708699163,0.2154106129999668,1.0,0.22364382904534888,0.5671577473951452,0.0
lopez,1.0,0.38,-0.05742052525338815,0.1322443902320641,0.22670726430303356,1.0,0.21160896800005363,0.56248563720119,0.0
lopez,1.0,0.4,-0.06279337607221809,0.13635924016205028,0.23790920188777495,1.0,0.1999356936080906,0.5576880227684047,0.0
lopez,1.0,0.42,-0.0683261990744002,0.14024418094001323,0.24901401310829716,1.0,0.1886168646873231,0.5527745789092648,0.0
lopez,1.0,0.44,-0.0740099387235779,0.14390623028982308,0.2600194747140484,1.0,0.17764536781949236,0.5477545725087428,0.0
lopez,1.0,0.46,-0.07983581735103511,0.14735226398995777,0.2709235448262575,1.0,0.16701412275000435,0.54263687610747,0.0
lopez,1.0,0.48,-0.08579532949119012,0.15058901658856383,0.2817243551832265,1.0,0.15671608748126606,0.537429981095066,0.0
lopez,1.0,0.5,-0.09188023624840522,0.15362308221704682,0.2924202036461883,1.0,0.14674426307035812,0.5321420105268925,0.0
lopez,1.0,0.52,-0.09808255969884257,0.15646091549639843,0.30300954695819005,1.0,0.13709169814158778,0.5267807315757432,0.0
